feature,mean
session_number_,0.0043109213
navigate_click_undefined_event_name_counts,0.0037023681
11_LEVEL_count,0.003089343
9_LEVEL_count,0.0028522497
tunic.historicalsociety.frontdesk_room_fqid_counts,0.002186702
toentry_fqid_counts,0.0019368009
map_click_undefined_event_name_counts,0.0019227167
word_q25_the,0.0018653595
map_hover_basic_ET_sum_,0.0017047666
word_the,0.0016341576
hover_duration_q75_,0.0016186044
word_median_suffragist,0.0015960531
tunic.historicalsociety.frontdesk.archivist.have_glass_ET_q25_,0.0015711252
word_median_can,0.0015655237
tunic.historicalsociety.stacks_room_fqid_counts,0.0015308539
word_std_next_found,0.001503157
tunic.historicalsociety.closet_dirty_ET_std_next_,0.0014758642
person_click_basic_ET_q25_,0.0014661677
tunic.historicalsociety.closet_dirty.gramps.nothing_ET_sum_,0.0014354682
word_found,0.0014091412
tunic.kohlcenter.halloffame_ET_std_next_,0.0013800649
tunic.historicalsociety.closet_dirty.door_block_talk_ET_std_,0.0013709385
word_q25_to,0.0013473879
word_std_found,0.0013369122
tunic.historicalsociety.closet_dirty.door_block_talk_ET_sum_,0.0013363399
6_LEVEL_count,0.0013239838
tunic.historicalsociety.closet_dirty.gramps.nothing_ET_q75_,0.0013197835
tunic.humanecology.frontdesk.worker.intro_ET_q25_,0.0013035195
tunic.historicalsociety.frontdesk.archivist.newspaper_ET_q25_,0.0012863387
tunic.library.frontdesk.worker.wells_ET_q25_,0.0012735158
word_q25_cleaner,0.0012706682
object_hover_undefined_event_name_counts,0.0012536003
reader_fqid_counts,0.0012521618
tunic.drycleaner.frontdesk_room_fqid_counts,0.001252102
word_mean_cleaner,0.0012502415
12_LEVEL_count,0.0012274567
door_block_talk_fqid_counts,0.0012274516
word_median_cleaner,0.0012273984
tunic.drycleaner.frontdesk.worker.hub_ET_median_,0.0012254369
journals.pic_2.next_ET_std_next_,0.0012093922
word_median_it,0.0012072705
journals.pic_2.next_ET_sum_,0.0012058406
tunic.historicalsociety.frontdesk.archivist.newspaper_recap_ET_q75_next_,0.0011989088
word_to,0.0011965092
word_q25_Theodora Youmans,0.0011957003
tunic.historicalsociety.closet_dirty.what_happened_ET_std_next_,0.0011950654
word_sum_Gramps,0.0011936256
tunic.historicalsociety.frontdesk.archivist.newspaper_ET_q75_,0.0011918598
tunic.library.frontdesk.worker.wells_ET_mean_,0.0011773609
door_block_talk_ET_sum_,0.0011735192
door_block_talk_ET_std_next_,0.0011725696
tocloset_dirty_ET_sum_,0.0011718431
tostacks_fqid_counts,0.0011516769
word_mean_can,0.001131004
tunic.historicalsociety.closet_dirty.gramps.nothing_ET_median_,0.0011280626
tunic.historicalsociety.closet_dirty.gramps.archivist_ET_q25_,0.0011212368
door_block_talk_ET_std_,0.001105943
what_happened_ET_q25_,0.0010973491
observation_click_basic_ET_std_,0.0010938516
hover_duration_mean_,0.001093612
word_is,0.0010933627
word_Gramps,0.0010927416
archivist_fqid_counts,0.0010906211
tunic.kohlcenter.halloffame_ET_q25_next_,0.0010876706
tunic.historicalsociety.frontdesk.archivist.foundtheodora_text_fqid_counts,0.0010855442
tunic.historicalsociety.closet_dirty.gramps.nothing_ET_mean_,0.0010851482
12_ET_std_next_,0.0010837666
journals.pic_1.next_ET_sum_,0.0010775371
word_sum_cleaner,0.0010717368
tunic.historicalsociety.closet_dirty.what_happened_ET_median_,0.0010703742
tunic.kohlcenter_ET_sum_,0.0010620154
logbook_fqid_counts,0.0010593574
tunic.historicalsociety.closet_dirty.door_block_talk_ET_q75_,0.001055239
tunic.kohlcenter_fqid_counts,0.0010550703
what_happened_ET_median_,0.001054654
word_q25_it,0.0010529598
cutscene_click_basic_ET_q75_,0.0010500356
tunic.kohlcenter.halloffame_ET_mean_,0.0010498305
tunic.historicalsociety.closet_dirty.door_block_talk_ET_sum_next_,0.0010454874
tunic.historicalsociety.closet_dirty.door_block_talk_ET_q25_,0.0010433386
word_median_the,0.001042932
word_q25_1916,0.0010351976
tunic.drycleaner.frontdesk_ET_mean_,0.001034606
tunic.historicalsociety.closet_dirty.gramps.nothing_ET_sum_next_,0.0010331536
tunic.library.frontdesk.worker.wells_ET_median_,0.0010271254
reader_bingo_indexCount,0.0010212384
worker_ET_q25_,0.0010160622
journals.pic_2.next_ET_std_,0.0010133886
tunic.historicalsociety.closet_dirty.gramps.nothing_ET_q25_next_,0.0010127225
tunic.historicalsociety.frontdesk.archivist.newspaper_recap_ET_median_,0.0010089353
word_median_slip,0.0010037948
journals.pic_1.next_ET_std_next_,0.0010000757
