feature,mean
object_click_basic_event_name_counts,0.004248736
checkpoint_basic_ET_sum_,0.0026687358
word_mean_you,0.002641745
object_click_basic_ET_sum_next_,0.0026408734
word_q75_you,0.0025728627
chap1_finale_c_ET_sum_,0.0025561857
tunic.historicalsociety.collection_room_fqid_counts,0.002509762
checkpoint_basic_ET_median_,0.002444917
session_number_,0.0024070567
checkpoint_basic_ET_q75_,0.002250697
cutscene_click_basic_ET_median_,0.0021789442
word_median_help,0.0021692398
4_ET_sum_,0.0021361643
checkpoint_basic_ET_q25_,0.002123909
tunic.capitol_0.hall_ET_sum_,0.0020880126
word_sum_help,0.0020872033
chap1_finale_c_ET_q75_,0.0020695413
tunic.historicalsociety.collection.gramps.found_ET_mean_,0.0020678858
word_mean_help,0.0020665796
checkpoint_basic_ET_mean_,0.002041079
cs_ET_mean_,0.0020015938
notebook_click_basic_ET_q25_next_,0.0019521484
tunic.historicalsociety.collection.gramps.found_ET_sum_,0.001925163
tunic.historicalsociety.closet.doorblock_ET_median_next_,0.0019214413
word_q25_you,0.001868096
tunic.historicalsociety.collection.gramps.found_ET_median_,0.0018522694
tunic.historicalsociety.collection.gramps.found_ET_std_next_,0.0018154195
plaque_fqid_counts,0.0018084431
word_median_you,0.0017639023
3_LEVEL_count,0.0017135403
word_q75_help,0.0016950878
word_q75_the,0.001692362
word_sum_Wells,0.0016864623
word_q25_the,0.0016863183
word_q75_Wells,0.0016839614
word_median_Wells,0.0016560339
word_median_it,0.0016407843
word_median_that,0.0016396365
chap1_finale_c_ET_median_,0.0016197028
word_mean_slip,0.0016026327
gramps_ET_median_,0.0016008753
tunic.historicalsociety.entry.groupconvo_ET_median_,0.0015832691
tunic.historicalsociety.collection_ET_q25_,0.0015831381
word_q25_that,0.0015628457
groupconvo_ET_median_,0.0015610578
tunic.historicalsociety.closet.doorblock_ET_q25_next_,0.0015386654
word_mean_it,0.0015077114
object_hover_undefined_ET_q75_next_,0.0015022776
tostacks_fqid_counts,0.0014929232
tunic.historicalsociety.stacks.outtolunch_ET_std_next_,0.0014640768
word_q75_1916,0.0014620345
word_mean_1916,0.0014601835
tunic.historicalsociety.stacks.outtolunch_ET_q25_next_,0.0014466555
tunic.kohlcenter.halloffame.plaque.face.date_ET_mean_,0.0014397077
word_mean_Wells,0.0014351825
tunic.historicalsociety.closet.doorblock_ET_median_,0.0014333053
word_median_the,0.0014325813
tunic.capitol_0.hall_ET_std_,0.0014323172
word_median_Jo,0.001432076
plaque.face.date_fqid_counts,0.0014312504
