feature,mean
word_sum_flag,0.004090316
tunic.library.frontdesk_ET_q25_next_,0.0039224573
notification_click_basic_ET_median_next_,0.0034431363
groupconvo_flag_ET_sum_next_,0.0032024588
worker_ET_sum_next_,0.0031961366
tunic.historicalsociety.basement_ET_sum_next_,0.003050667
tocollectionflag_ET_mean_next_,0.0030363698
word_q25_next_Earth Day,0.0029943453
20_ET_q75_next_,0.0028936407
tunic.library.frontdesk.worker.nelson_ET_mean_next_,0.0027782046
notification_click_basic_ET_mean_next_,0.0026752832
tunic.wildlife.center_ET_sum_next_,0.0026749205
toentry_ET_mean_next_,0.002474125
19_ET_sum_,0.002395923
tunic.flaghouse.entry_ET_sum_,0.0023510212
notification_click_basic_ET_q75_next_,0.0022965062
toentry_ET_q25_next_,0.0022508272
tunic.library.microfiche_ET_q25_next_,0.002104011
tunic.library.frontdesk_ET_sum_,0.0020947536
object_hover_undefined_ET_sum_next_,0.002062892
tunic.library.microfiche_ET_mean_next_,0.002054277
tunic.library.frontdesk.worker.nelson_ET_q25_next_,0.0020263423
tocage_ET_mean_next_,0.0020025033
navigate_click_undefined_ET_sum_next_,0.0019964697
reader_flag.paper2.bingo_ET_mean_next_,0.0019048823
20_ET_sum_,0.0019023593
18_ET_sum_next_,0.001900161
tunic.historicalsociety.cage_ET_mean_next_,0.0017878279
tocollectionflag_ET_q75_next_,0.0017301404
word_q75_next_you,0.0017029697
tunic.capitol_2.hall_ET_q75_next_,0.0016837835
object_hover_undefined_ET_mean_next_,0.001678234
word_median_next_Earth Day,0.0016469838
tunic.library.frontdesk_ET_mean_next_,0.001619348
21_ET_median_next_,0.0015269719
word_mean_next_Earth Day,0.0015236404
tunic.wildlife.center_ET_sum_,0.001460529
word_q75_next_it,0.0014159556
tunic.wildlife.center.wells.nodeer_ET_sum_next_,0.0013846013
tobasement_ET_median_next_,0.0013456028
chap4_finale_c_ET_mean_next_,0.0013389031
word_mean_flag,0.0013341487
tracks_ET_sum_next_,0.0012899336
map_click_basic_ET_sum_next_,0.0012686402
tocloset_dirty_ET_std_next_,0.0012664907
tunic.historicalsociety.cage.glasses.beforeteddy_ET_q75_next_,0.001258371
journals_flag.pic_0.next_ET_sum_,0.0012454282
21_ET_sum_,0.0012397391
word_sum_national movement,0.001237428
tunic.kohlcenter.halloffame_ET_std_next_,0.0012110912
tracks_ET_sum_,0.0011578188
tunic.library.frontdesk.worker.nelson_ET_sum_next_,0.0011569072
21_ET_sum_next_,0.0011400221
word_median_and,0.0011384233
tunic.historicalsociety.closet_dirty_ET_std_next_,0.0011288894
tunic.library.frontdesk_ET_sum_next_,0.0011259472
object_hover_undefined_ET_sum_,0.0011221445
word_std_flag,0.0010921751
map_click_undefined_ET_q75_next_,0.001085474
13_ET_sum_next_,0.0010792487
journals_flag.pic_0.next_ET_mean_,0.0010695037
21_ET_q75_next_,0.0010690428
