feature,mean
object_click_basic_ET_sum_,0.009634309
object_click_basic_event_name_counts,0.008200073
object_click_basic_ET_sum_next_,0.0060390397
11_LEVEL_count,0.0037469885
room_fqid_unique_,0.003308577
journals.pic_2.next_ET_sum_,0.003256922
journals_bingo_indexCount,0.0030834787
businesscards_ET_sum_next_,0.002371898
tocollection_ET_median_,0.0022398597
tocollection_ET_std_next_,0.0022369432
11_ET_sum_,0.0021993187
object_hover_undefined_ET_sum_,0.0021722196
reader.paper1.next_ET_sum_,0.0018595206
journals.hub.topics_ET_sum_,0.001815745
businesscards_fqid_counts,0.0017793744
tunic.drycleaner.frontdesk.logbook.page.bingo_ET_sum_,0.0016715756
tocollection_ET_mean_next_,0.0016646575
tunic.drycleaner.frontdesk.logbook.page.bingo_ET_q75_,0.0016123968
tunic.historicalsociety.stacks.journals.pic_2.bingo_ET_mean_,0.0016062254
tunic.kohlcenter.halloffame_ET_mean_,0.0015781611
block_ET_mean_,0.0015180905
block_ET_std_,0.0014850775
reader.paper1.next_ET_q75_,0.0014562947
tunic.historicalsociety.stacks.journals.pic_2.bingo_ET_sum_,0.0014471688
journals.pic_1.next_fqid_counts,0.0014299362
tunic.historicalsociety.stacks.journals.pic_2.bingo_ET_q75_,0.0014280837
session_number_,0.0014162882
block_ET_median_,0.0013675689
notification_click_basic_ET_median_,0.0013652924
tunic.drycleaner.frontdesk.logbook.page.bingo_ET_median_,0.0013635161
notification_click_basic_ET_q25_,0.0013633341
reader.paper0.next_ET_sum_,0.0013258264
tunic.drycleaner.frontdesk.logbook.page.bingo_ET_mean_,0.0012993859
journals.pic_1.next_ET_sum_,0.001292434
journals.pic_0.next_ET_sum_,0.0012775294
tunic.historicalsociety.stacks_room_fqid_counts,0.0012677071
map_click_undefined_event_name_counts,0.0012593919
notification_click_basic_ET_q75_,0.0012502159
tocollection_ET_q25_next_,0.0012350213
tunic.library.frontdesk.worker.droppedbadge_text_fqid_counts,0.0012245767
word_q25_this,0.0012073657
tocollection_ET_median_next_,0.0011980248
block_ET_sum_,0.0011792282
tunic.capitol_0.hall_ET_sum_,0.0011235906
gramps_fqid_counts,0.0011065743
logbook.page.bingo_ET_sum_,0.0010824074
tunic.historicalsociety.stacks.block_ET_std_next_,0.0010664897
notification_click_basic_ET_mean_,0.001065913
tocollection_ET_sum_next_,0.0010655243
10_ET_sum_,0.0010459642
reader.paper1.next_ET_mean_,0.0010260012
notebook_click_prev_ET_sum_,0.0010218155
fqid_unique_,0.0010173114
journals.pic_2.next_ET_std_,0.0010158076
tunic.historicalsociety.closet_dirty.gramps.archivist_ET_sum_,0.0010067852
block_ET_sum_next_,0.001006696
tunic.historicalsociety.stacks_ET_sum_,0.000999547
reader_bingo_duration,0.0009945977
journals.hub.topics_ET_q75_,0.0009858337
tunic.historicalsociety_ET_q75_next_,0.000984292
notebook_click_close_ET_std_,0.0009834521
tunic.library.microfiche_ET_sum_,0.0009819258
reader.paper0.next_ET_std_next_,0.0009777492
businesscards_ET_sum_,0.0009730419
notebook_click_close_ET_q75_,0.00096120796
tunic.historicalsociety.collection_ET_q25_,0.00095338805
5_LEVEL_count,0.00095103047
notebook_click_prev_ET_q75_,0.0009491031
word_q25_you,0.00094262953
block_ET_std_next_,0.0009384027
observation_click_basic_ET_q75_,0.00093666854
tunic.historicalsociety.closet_dirty.gramps.nothing_ET_mean_,0.00093562424
tunic.historicalsociety.collection_ET_std_,0.00093022466
logbook_bingo_indexCount,0.0009296256
block_ET_q75_,0.00092453166
tunic.historicalsociety.stacks.journals.pic_2.bingo_ET_std_,0.00092320424
notification_click_basic_ET_sum_,0.0009146467
tunic.capitol_1.hall_ET_sum_next_,0.000908221
notebook_click_close_ET_sum_,0.0009035678
tunic.library.frontdesk_ET_sum_,0.00090314896
word_q25_next_Ooh,0.00090267457
tunic.kohlcenter.halloffame_ET_median_,0.000900505
reader.paper2.bingo_ET_q75_,0.0008968221
notebook_click_prev_ET_sum_next_,0.00089653657
word_q25_that,0.00089526555
tunic.historicalsociety.stacks.block_ET_median_,0.00089450576
word_sum_1916,0.00089124165
tunic.historicalsociety.closet_dirty.gramps.news_ET_mean_,0.0008865285
notebook_click_prev_ET_median_next_,0.00088343833
notebook_click_prev_ET_std_next_,0.00088169455
observation_click_basic_ET_median_,0.00088148355
tunic.humanecology_ET_q25_,0.0008813894
tunic.humanecology.frontdesk.worker.badger_ET_q75_next_,0.0008798146
10_ET_sum_next_,0.0008757867
word_median_that,0.00087281293
reader.paper1.next_ET_median_,0.00087209686
word_median_suffragist,0.0008638394
map_click_undefined_ET_std_next_,0.0008589363
businesscards_ET_median_,0.00085448223
wellsbadge_ET_mean_,0.00085262203
6_ET_std_,0.0008500038
tunic.historicalsociety.closet_dirty_ET_std_,0.0008491549
tunic.historicalsociety.frontdesk.archivist.have_glass_recap_ET_median_,0.00084889925
tunic.humanecology_ET_q25_next_,0.0008488031
tocollection_ET_q75_,0.00084719894
observation_click_basic_ET_mean_,0.00084697385
tunic.humanecology.frontdesk.worker.intro_ET_std_next_,0.0008436373
tunic.drycleaner.frontdesk.worker.hub_ET_q25_,0.0008434136
tunic.capitol_1_ET_mean_next_,0.00084202574
12_ET_std_,0.00083976396
tunic.historicalsociety.frontdesk.archivist.newspaper_ET_q75_,0.000839406
reader_fqid_counts,0.00083895744
tunic.historicalsociety.stacks.journals.pic_2.bingo_ET_median_,0.00083760114
gramps_ET_q25_,0.00083347666
tunic.library.frontdesk.worker.hello_ET_sum_,0.0008330489
notebook_click_close_ET_mean_,0.0008316693
worker_ET_q25_,0.0008313873
tunic.historicalsociety.closet_dirty.gramps.news_ET_q25_,0.0008305518
text_fqid_unique_,0.00083037437
tunic.library.frontdesk_ET_std_,0.0008298325
object_click_close_ET_median_,0.00082904095
word_q75_Theodora Youmans,0.00082799944
toentry_ET_sum_,0.00082783855
block_ET_q25_,0.0008273875
tunic.historicalsociety.frontdesk_ET_median_,0.0008268511
businesscards.card_bingo.bingo_ET_mean_,0.00082669547
tunic.capitol_0.hall_ET_std_next_,0.00082663505
journals.pic_2.bingo_ET_q25_,0.00082656945
tunic.historicalsociety.entry_ET_q75_next_,0.000822901
word_q75_next_cleaning,0.0008227375
tunic.historicalsociety.closet_dirty.trigger_scarf_ET_q25_,0.00082176557
word_median_Theodora Youmans,0.0008208929
word_sum_found,0.00082052045
tunic.historicalsociety.frontdesk.archivist.newspaper_ET_median_,0.0008199772
object_click_close_ET_mean_,0.0008196421
tunic.historicalsociety.closet_dirty.gramps.archivist_ET_std_next_,0.00081554614
word_median_this,0.0008153283
