feature,mean
11_LEVEL_count,0.004590679
session_number_,0.004070041
object_click_basic_event_name_counts,0.0038285572
word_the,0.0030937428
tunic.historicalsociety.stacks_ET_sum_next_,0.0026643816
archivist_ET_q25_,0.0025484795
object_click_basic_ET_sum_,0.002470215
word_to,0.002408185
word_q25_the,0.002295817
word_q25_is,0.002272726
worker_ET_q25_,0.002046176
tunic.drycleaner.frontdesk.worker.hub_ET_median_,0.0020022455
object_click_basic_ET_sum_next_,0.001891155
person_click_basic_ET_q25_,0.0018536807
word_q25_to,0.0017336993
tunic.drycleaner.frontdesk.worker.hub_ET_q25_,0.0017267196
word_it,0.0017182038
tunic.historicalsociety.frontdesk_ET_q25_,0.0016798938
tunic.historicalsociety.frontdesk_room_fqid_counts,0.0016474604
word_q25_it,0.0016290898
tunic.drycleaner.frontdesk_ET_median_,0.0015951358
reader_bingo_indexCount,0.0015485577
word_q25_help,0.0014944013
tunic.historicalsociety.frontdesk.magnify_ET_sum_,0.0014717758
archivist_ET_median_,0.0014558574
7_LEVEL_count,0.0014221431
reader_fqid_counts,0.0014174378
tunic.historicalsociety.frontdesk_ET_q75_,0.001392269
archivist_fqid_counts,0.0013915666
11_ET_sum_next_,0.0013858383
word_std_next_cleaner,0.0013622228
word_std_this,0.0013528598
room_fqid_unique_,0.0013449251
observation_click_basic_ET_mean_,0.0013447797
tunic.capitol_1.hall.boss.haveyougotit_ET_median_,0.0013412219
word_q25_that,0.0013271867
tunic.humanecology.frontdesk.worker.intro_ET_q25_,0.0013201779
observation_click_basic_ET_q75_,0.0013047107
observation_click_basic_ET_median_,0.0012944997
tunic.historicalsociety.frontdesk.archivist.newspaper_ET_q25_,0.0012643586
word_sum_this,0.0012621166
word_sum_found,0.0012565964
tunic.drycleaner.frontdesk_room_fqid_counts,0.0012382255
tunic.historicalsociety.frontdesk.magnify_ET_median_,0.0012302181
tunic.historicalsociety.entry_ET_sum_,0.0012273757
trigger_scarf_ET_median_,0.0012211021
tunic.historicalsociety.stacks_ET_sum_,0.0012189768
map_click_undefined_event_name_counts,0.0012175215
tunic.historicalsociety.closet_dirty.trigger_scarf_ET_sum_,0.0012143587
tunic.historicalsociety.closet_dirty.trigger_scarf_ET_q25_,0.0012127726
tunic.historicalsociety.collection_ET_mean_next_,0.001212273
7_ET_sum_,0.0012047644
word_mean_slip,0.001200404
tunic.historicalsociety.closet_dirty.trigger_scarf_ET_median_,0.0011975318
tunic.historicalsociety.frontdesk.archivist.have_glass_ET_q25_,0.0011849483
tunic.historicalsociety.frontdesk.magnify_ET_q75_,0.0011846534
tunic.historicalsociety.stacks.block_ET_mean_,0.0011718601
tunic.historicalsociety.closet_dirty.trigger_scarf_ET_q75_,0.0011698867
tunic.historicalsociety.frontdesk.archivist.have_glass_ET_median_,0.001159467
tunic.historicalsociety.basement_ET_q75_next_,0.0011592639
tocollection_ET_q25_,0.00114966
tunic.historicalsociety.frontdesk.magnify_ET_mean_,0.0011490325
tunic.historicalsociety.frontdesk_ET_median_,0.001147941
journals_ET_sum_next_,0.0011410041
word_q25_can,0.0011402393
word_median_cleaner,0.0011390055
map_hover_basic_ET_median_next_,0.0011350922
tunic.historicalsociety.frontdesk.archivist.need_glass_0_ET_median_next_,0.0011327727
businesscards_ET_sum_next_,0.0011305545
tunic.historicalsociety.collection_ET_q75_next_,0.0011302588
block_ET_std_next_,0.0011290909
cutscene_click_basic_ET_q75_,0.0011216943
9_LEVEL_count,0.0011207672
tunic.historicalsociety.collection_ET_std_,0.0011164207
word_median_can,0.0011038786
word_median_to,0.0011029267
tunic.humanecology.frontdesk.worker.intro_ET_median_,0.0011014568
tunic.historicalsociety.closet_dirty.trigger_coffee_ET_q75_,0.0010995569
archivist_ET_q75_,0.0010966505
journals.hub.topics_ET_sum_,0.001092648
word_q25_next_Oh,0.0010914822
word_sum_cleaner,0.001082986
navigate_click_undefined_ET_sum_,0.0010790533
notebook_click_close_ET_q75_next_,0.0010725589
tunic.drycleaner.frontdesk_ET_q25_,0.0010669894
reader_ET_sum_,0.0010641669
word_q75_found,0.0010616352
tunic.historicalsociety.basement_ET_std_next_,0.0010605878
word_q75_Jo,0.0010595303
tunic.historicalsociety.stacks_room_fqid_counts,0.0010580482
tunic.historicalsociety.stacks.journals.pic_2.bingo_ET_std_next_,0.0010522265
tunic.historicalsociety.frontdesk.magnify_ET_q25_,0.0010519135
magnify_ET_q75_,0.0010518947
tunic.historicalsociety.frontdesk.archivist.need_glass_0_ET_q25_,0.0010495632
12_ET_sum_,0.0010480596
