feature,mean
session_number_,0.008349002
11_LEVEL_count,0.007886457
tunic.historicalsociety.stacks_room_fqid_counts,0.0045103603
worker_ET_q25_,0.0039681313
word_q25_to,0.0036476585
person_click_basic_ET_q25_,0.003564386
9_LEVEL_count,0.0032162068
tunic.historicalsociety.frontdesk_room_fqid_counts,0.002904426
map_click_undefined_event_name_counts,0.0027159755
navigate_click_undefined_event_name_counts,0.0022209212
tunic.drycleaner.frontdesk.worker.hub_ET_q25_,0.0021187207
object_hover_undefined_event_name_counts,0.0020942758
map_hover_basic_ET_sum_,0.0020785837
word_to,0.0020561616
map_hover_basic_event_name_counts,0.0020019694
word_q75_you,0.001967776
word_std_you,0.0019400291
word_the,0.0018685634
tunic.humanecology.frontdesk.worker.intro_ET_q25_,0.0018550279
word_mean_cleaner,0.001839672
word_median_cleaner,0.0017642479
word_median_Wells,0.0017212922
word_q25_that,0.0016719758
tunic.kohlcenter_fqid_counts,0.0016364743
word_q25_the,0.001614066
word_sum_cleaner,0.0015846248
reader_bingo_indexCount,0.001499817
hover_duration_q75_,0.0014644825
object_click_basic_ET_sum_next_,0.0014390843
word_median_you,0.0014172294
word_q25_cleaner,0.0014126298
tunic.library.microfiche_room_fqid_counts,0.0013876256
11_ET_sum_next_,0.0013450469
reader_fqid_counts,0.0013415288
word_median_help,0.0013239452
tunic.kohlcenter.halloffame_ET_q75_,0.0013048771
tunic.humanecology.frontdesk.worker.intro_ET_median_,0.0012862649
word_q25_it,0.0012518016
tunic.kohlcenter_ET_std_next_,0.0012397658
word_q25_Oh,0.001221438
tunic.historicalsociety_fqid_counts,0.0012177753
observation_click_basic_ET_q75_,0.0011981536
map_hover_basic_ET_sum_next_,0.0011956634
word_q75_Theodora Youmans,0.0011854437
object_hover_undefined_ET_sum_next_,0.001184986
journals.pic_1.next_fqid_counts,0.0011838559
tunic.library.microfiche_ET_sum_next_,0.0011825878
word_q75_Wells,0.0011606996
logbook.page.bingo_ET_q75_,0.0011504453
tunic.kohlcenter.halloffame_ET_mean_,0.0011395144
word_q75_cleaner,0.0011346653
tunic.historicalsociety.closet_dirty.door_block_talk_ET_sum_,0.0011334319
hover_duration_mean_,0.0011334218
journals.pic_0.next_ET_sum_,0.0011304592
word_q25_is,0.0011286931
object_hover_undefined_ET_sum_,0.0011239327
tunic.historicalsociety.stacks.block_ET_q75_,0.0011191684
door_block_talk_ET_sum_,0.0011181918
tunic.historicalsociety.frontdesk_ET_median_,0.001115256
cutscene_click_basic_ET_median_,0.0011143003
logbook.page.bingo_ET_sum_,0.0011115649
word_std_next_Theodora Youmans,0.0011049241
word_std_Theodora Youmans,0.0011036454
word_std_cleaning,0.0010918935
tunic.historicalsociety.closet_dirty.door_block_talk_ET_std_next_,0.0010893738
tunic.drycleaner.frontdesk.worker.takealook_ET_q75_,0.0010852923
word_q25_Wells,0.0010812954
journals.pic_1.next_ET_sum_,0.0010773632
tunic.drycleaner.frontdesk_ET_q25_,0.0010753822
word_q25_Theodora Youmans,0.0010687762
tunic.historicalsociety.stacks_ET_sum_,0.0010642289
observation_click_basic_ET_std_,0.0010592717
word_q75_this,0.0010567689
logbook.page.bingo_ET_std_,0.0010538182
tunic.historicalsociety.closet_dirty.gramps.archivist_ET_mean_next_,0.0010521583
archivist_ET_q25_,0.0010518241
11_ET_std_next_,0.001045428
tunic.historicalsociety.frontdesk.archivist.have_glass_ET_median_,0.0010434294
reader.paper1.next_ET_median_,0.0010427944
tunic.historicalsociety.closet_dirty.door_block_talk_ET_q25_next_,0.0010393064
word_std_Gramps,0.0010382006
object_click_basic_ET_sum_,0.0010368556
reader_ET_sum_next_,0.0010353054
tunic.historicalsociety.closet_dirty.door_block_talk_ET_std_,0.0010247746
tunic.historicalsociety.closet_dirty.gramps.helpclean_ET_median_,0.0010187413
tunic.historicalsociety.closet_dirty.gramps.archivist_ET_std_,0.0010184725
logbook.page.bingo_ET_mean_,0.0010149003
door_block_talk_ET_std_next_,0.0010093518
block_ET_q75_,0.0010067286
word_std_found,0.0010032714
word_sum_this,0.001000155
word_std_this,0.0009974916
word_is,0.0009940364
word_std_next_cleaner,0.0009892756
tunic.library.frontdesk.worker.wells_ET_median_,0.0009874433
word_median_next_found,0.0009863733
tunic.historicalsociety.closet_dirty.gramps.helpclean_ET_mean_,0.0009832871
word_q25_cleaning,0.0009798132
tunic.historicalsociety.basement_ET_median_next_,0.0009793285
tunic.kohlcenter_ET_sum_,0.0009776297
notebook_click_close_event_name_counts,0.0009638667
word_q75_is,0.0009595338
worker_ET_median_,0.0009569055
word_q25_and,0.0009561607
tunic.historicalsociety.closet_dirty.door_block_talk_ET_q75_next_,0.0009560044
tunic.historicalsociety.frontdesk.block_magnify_ET_q75_,0.00095430727
navigate_click_undefined_ET_q75_,0.00095375185
word_q75_Gramps,0.0009536067
tunic.library.frontdesk_ET_std_next_,0.00095258345
word_q25_help,0.0009516472
tunic.historicalsociety.frontdesk.archivist.hello_ET_median_,0.0009503449
tunic.historicalsociety.closet_dirty.trigger_scarf_ET_std_,0.0009467029
tunic.historicalsociety.closet_dirty.gramps.helpclean_ET_q25_,0.0009443417
tunic.historicalsociety.closet_dirty.trigger_coffee_ET_q25_,0.0009437103
word_q25_suffragist,0.0009418641
map_click_undefined_ET_sum_,0.00094088394
tunic.historicalsociety.frontdesk_ET_q25_,0.0009377488
reader_ET_sum_,0.0009376262
tunic.historicalsociety_ET_sum_,0.0009369485
9_ET_sum_next_,0.0009352779
8_ET_q25_,0.0009325349
block_ET_mean_,0.00093125534
11_ET_sum_,0.00092547364
tunic.historicalsociety.frontdesk.block_magnify_ET_sum_,0.0009250703
journals.pic_1.next_ET_sum_next_,0.0009230868
tunic.historicalsociety.closet_dirty.gramps.archivist_ET_sum_next_,0.0009225893
reader.paper1.next_ET_q25_,0.0009211391
word_sum_next_it,0.00091555394
toentry_ET_sum_,0.0009114937
10_ET_std_,0.00091058254
reader.paper2.next_ET_std_next_,0.0009049317
word_std_that,0.0009012889
tunic.kohlcenter_ET_sum_next_,0.0009000158
word_q75_that,0.00089832966
tunic.drycleaner.frontdesk.worker.hub_ET_median_,0.00089556223
businesscards.card_bingo.bingo_ET_sum_next_,0.0008899602
tunic.historicalsociety.closet_dirty.door_block_talk_ET_q75_,0.0008898561
word_sum_Gramps,0.00088918675
tunic.library.frontdesk.worker.hello_ET_median_,0.0008891853
tunic.humanecology.frontdesk.worker.intro_ET_mean_,0.0008886063
journals_ET_sum_,0.00088513683
tunic.drycleaner.frontdesk.worker.hub_ET_q75_,0.0008844675
tunic.library.frontdesk.worker.wells_ET_q25_,0.00088234444
tunic.historicalsociety.closet_dirty.gramps.nothing_ET_median_,0.0008819139
notebook_click_close_ET_sum_next_,0.00088079483
journals.pic_1.next_ET_q25_,0.0008776128
observation_click_basic_ET_sum_,0.0008769239
word_std_need,0.00087433227
reader.paper1.next_ET_std_next_,0.0008713984
reader.paper2.bingo_ET_q75_,0.0008708552
word_median_to,0.000869112
word_std_next_is,0.00086898735
tunic.historicalsociety.closet_dirty_ET_q75_,0.0008658557
tunic.capitol_1.hall.boss.haveyougotit_ET_mean_next_,0.00086560036
cutscene_click_basic_ET_q75_,0.0008653258
tunic.historicalsociety.basement.janitor_ET_q25_next_,0.0008649956
tunic.historicalsociety.frontdesk.archivist.have_glass_ET_q25_,0.0008647466
tunic.historicalsociety.closet_dirty.gramps.nothing_ET_mean_,0.00086431345
tunic.historicalsociety.closet_dirty.gramps.helpclean_ET_q75_,0.00086345396
tunic.historicalsociety.closet_dirty.door_block_talk_ET_mean_next_,0.00086258084
tunic.historicalsociety.closet_dirty.gramps.nothing_ET_q75_,0.00086185656
tunic.historicalsociety.frontdesk.archivist.have_glass_ET_q75_,0.0008612507
reader.paper1.next_ET_mean_,0.0008607217
tunic.historicalsociety.frontdesk.archivist.hello_ET_q25_,0.00085982785
tunic.historicalsociety.closet_dirty.gramps.archivist_ET_q25_,0.0008594245
tunic.library.frontdesk_room_fqid_counts,0.0008593991
door_block_talk_ET_median_next_,0.000856332
room_coor_y_mean_,0.00085407
gramps_ET_median_,0.0008532644
tunic.library.frontdesk.worker.wells_ET_sum_,0.00085145247
gramps_ET_q75_,0.0008514297
tunic.humanecology.frontdesk.worker.intro_ET_sum_,0.0008477172
word_q75_next_found,0.0008473578
cutscene_click_basic_ET_sum_,0.0008462325
map_click_close_ET_sum_,0.0008420033
tunic.historicalsociety.closet_dirty.photo_ET_sum_,0.0008397146
map_click_close_ET_q75_,0.000839333
tunic.library.frontdesk_ET_std_,0.000839081
word_std_help,0.00083887513
tunic.capitol_0_fqid_counts,0.0008380067
tunic.drycleaner.frontdesk.worker.takealook_ET_q25_next_,0.00083755347
trigger_scarf_ET_std_,0.0008370949
notebook_click_open_ET_sum_next_,0.0008355978
tunic.historicalsociety.frontdesk.archivist.newspaper_ET_q25_,0.00083488325
tunic.library.frontdesk.worker.wells_ET_q75_,0.0008348476
tunic.capitol_1.hall_room_fqid_counts,0.0008335956
word_mean_Gramps,0.0008330919
word_q25_find,0.00083264266
tunic.historicalsociety.frontdesk.block_magnify_ET_median_,0.00083184603
logbook_fqid_counts,0.0008246132
reader.paper2.bingo_ET_std_,0.0008236584
tunic.library.frontdesk.worker.hello_ET_std_next_,0.00082149904
word_sum_next_Gramps,0.0008156693
tunic.capitol_1.hall_ET_std_next_,0.00081395026
tunic.humanecology.frontdesk.worker.intro_ET_std_next_,0.0008132592
tostacks_ET_sum_,0.00081148394
word_median_Gramps,0.00081124925
archivist_ET_q75_,0.00081084186
observation_click_basic_ET_median_,0.0008095341
word_q25_need,0.0008093384
tunic.historicalsociety.frontdesk.archivist.need_glass_1_ET_q25_,0.0008069245
tunic.historicalsociety.closet_dirty.gramps.news_ET_q25_,0.00080521323
tostacks_fqid_counts,0.0008040162
tunic.drycleaner.frontdesk.worker.takealook_ET_q25_,0.0008038459
tunic.drycleaner.frontdesk.worker.done_ET_mean_,0.0008022571
tunic.historicalsociety.frontdesk.archivist.newspaper_ET_median_,0.0008018749
tunic.kohlcenter.halloffame_ET_q25_next_,0.000801068
tunic.library.frontdesk.worker.wells_recap_ET_q75_next_,0.00079854805
journals.pic_0.next_ET_std_,0.00079849066
tunic.library.frontdesk.worker.wells_ET_mean_,0.00079829094
tocloset_dirty_ET_sum_next_,0.0007977775
word_sum_it,0.0007960552
photo_ET_sum_,0.0007949423
tunic.historicalsociety.basement_ET_mean_next_,0.0007940921
notebook_click_close_ET_q75_,0.0007905602
tunic.drycleaner.frontdesk.worker.takealook_ET_mean_next_,0.00079049316
6_ET_std_next_,0.0007896043
tunic.capitol_1.hall.boss.haveyougotit_ET_q25_,0.00078930403
tunic.historicalsociety.frontdesk.archivist.have_glass_recap_ET_q75_,0.00078884605
tunic.historicalsociety.stacks.journals.pic_2.bingo_ET_mean_,0.00078759744
trigger_scarf_ET_q75_,0.00078686123
word_sum_found,0.0007864885
map_click_close_ET_q25_,0.000782649
tunic.capitol_0.hall.boss.talktogramps_ET_mean_,0.0007825622
reader.paper1.next_ET_sum_next_,0.0007800015
tunic.library.frontdesk.worker.wells_ET_std_next_,0.0007793917
tunic.drycleaner.frontdesk_ET_median_,0.0007783768
notebook_click_close_ET_sum_,0.0007769955
tunic.drycleaner.frontdesk.worker.takealook_ET_sum_,0.00077637675
word_sum_next_find,0.0007752338
block_ET_median_,0.0007743483
tunic.drycleaner.frontdesk.worker.takealook_ET_median_next_,0.0007732252
screen_coor_y_q25_,0.0007728724
word_std_next_suffragist,0.0007719561
tunic.library.frontdesk.worker.hello_ET_q25_,0.0007706009
word_q75_cleaning,0.0007699959
screen_coor_x_mean_,0.000767407
person_click_basic_event_name_counts,0.0007662887
tunic.historicalsociety.stacks.journals.pic_2.bingo_ET_q25_,0.0007658337
word_median_Oh,0.0007646527
room_coor_y_std_,0.00076414325
map_click_close_ET_mean_,0.0007620242
reader.paper2.next_ET_sum_,0.0007614055
reader.paper2.next_ET_q75_,0.0007604745
tunic.humanecology_ET_mean_next_,0.0007603501
map_click_close_ET_median_,0.0007600549
tunic.historicalsociety.closet_dirty.trigger_scarf_ET_q75_,0.00076003
tunic.historicalsociety.basement.janitor_ET_mean_,0.00075961795
block_ET_std_,0.0007572379
tunic.drycleaner.frontdesk_ET_std_,0.00075686583
tunic.historicalsociety.frontdesk.archivist.need_glass_1_ET_sum_,0.00075606885
observation_click_basic_ET_mean_,0.0007551891
tunic.historicalsociety.stacks.block_ET_mean_,0.00075474445
door_block_talk_ET_median_,0.0007545481
tunic.historicalsociety.closet_dirty.trigger_scarf_ET_median_,0.000754378
word_std_Wells,0.00075380655
tunic.humanecology.frontdesk.worker.intro_ET_q75_,0.0007536349
notification_click_basic_ET_q25_,0.0007514673
gramps_fqid_counts,0.00075053656
word_mean_Wells,0.0007503711
11_ET_std_,0.000749744
tunic.capitol_0_ET_median_next_,0.0007497307
map_click_close_ET_std_next_,0.000749226
tunic.historicalsociety.frontdesk.archivist.need_glass_0_ET_sum_,0.0007483912
tunic.historicalsociety.closet_dirty.door_block_talk_ET_sum_next_,0.00074690394
tunic.historicalsociety.frontdesk.archivist.have_glass_ET_std_,0.00074624515
word_median_Theodora Youmans,0.00074563705
tunic.library.frontdesk_ET_sum_,0.00074535713
tunic.historicalsociety.frontdesk.archivist.have_glass_recap_ET_std_,0.0007443521
tunic.historicalsociety.collection_ET_q25_next_,0.00074421003
room_coor_x_mean_,0.00074416463
tunic.drycleaner.frontdesk.worker.hub_ET_std_next_,0.00074383104
tunic.humanecology.frontdesk_ET_sum_,0.00074368686
word_median_suffragist,0.00074299297
map_click_basic_ET_q75_,0.00074069574
tunic.library.frontdesk.worker.wells_recap_ET_std_next_,0.00074012857
what_happened_ET_std_,0.0007388248
journals.hub.topics_ET_std_next_,0.0007388201
door_block_talk_ET_q25_,0.00073704787
tunic.historicalsociety.frontdesk.archivist.have_glass_recap_ET_std_next_,0.0007365511
journals_ET_sum_next_,0.0007364697
word_std_next_found,0.0007357358
room_coor_y_q75_,0.000734379
journals.pic_1.next_ET_std_,0.00073431566
tunic.historicalsociety.closet_dirty.door_block_talk_ET_median_next_,0.00073318696
tunic.library.microfiche_ET_sum_,0.0007319665
word_median_Jo,0.0007318325
12_ET_sum_,0.00073144125
reader.paper2.next_ET_std_,0.00072996784
word_q75_help,0.00072990794
map_click_close_ET_sum_next_,0.00072933617
businesscards.card_1.next_ET_sum_next_,0.0007293047
tunic.historicalsociety.closet_dirty.photo_ET_q25_,0.0007281492
word_sum_cleaning,0.000727585
notebook_click_open_ET_mean_next_,0.00072496297
tunic.drycleaner.frontdesk.logbook.page.bingo_ET_q25_,0.00072415755
tunic.kohlcenter_ET_std_,0.0007223976
word_median_the,0.0007210862
tunic.historicalsociety.entry_ET_q75_next_,0.00072106073
tunic.library.frontdesk.worker.wells_recap_ET_median_,0.00071988086
journals.pic_0.next_ET_std_next_,0.0007185186
tohallway_ET_std_next_,0.00071840786
tunic.drycleaner.frontdesk.worker.takealook_ET_sum_next_,0.00071837544
elapsed_time_diff_std_,0.0007180323
tunic.historicalsociety.frontdesk_ET_sum_,0.00071755657
reader.paper0.next_ET_median_next_,0.0007167915
journals.pic_2.next_ET_q75_next_,0.0007167085
tunic.historicalsociety.frontdesk.archivist.have_glass_recap_ET_sum_,0.0007160427
word_mean_suffragist,0.00071567215
logbook_ET_sum_next_,0.0007154951
tocollection_ET_median_,0.00071513536
word_q25_you,0.000714705
object_click_basic_event_name_counts,0.000714496
tomicrofiche_ET_q75_next_,0.00071429764
tunic.drycleaner.frontdesk.worker.hub_ET_sum_,0.00071388355
word_mean_cleaning,0.00071349996
tunic.drycleaner.frontdesk.logbook.page.bingo_ET_std_next_,0.00071274774
tunic.drycleaner.frontdesk_ET_sum_next_,0.00071258895
block_ET_sum_,0.00071077555
tunic.historicalsociety.frontdesk.archivist.newspaper_recap_ET_mean_,0.00071005884
journals_bingo_indexCount,0.00070911867
block_ET_std_next_,0.00070810143
text_fqid_unique_,0.00070746854
journals.pic_2.bingo_ET_sum_,0.0007063695
word_std_next_it,0.0007062082
tunic.humanecology.frontdesk.worker.badger_ET_q75_,0.0007056582
8_ET_std_,0.000702978
magnify_ET_std_next_,0.00070138264
tunic.historicalsociety.frontdesk.archivist.have_glass_recap_ET_q25_next_,0.0007011518
tunic.historicalsociety_ET_q75_,0.0007007176
tunic.historicalsociety.stacks.journals.pic_2.bingo_ET_median_,0.00069846003
door_block_talk_ET_sum_next_,0.000698325
notebook_click_open_ET_sum_,0.0006981629
tunic.humanecology_ET_sum_,0.0006969854
journals.pic_2.next_fqid_counts,0.0006960782
screen_coor_x_q25_,0.0006949582
screen_coor_y_median_,0.00069455855
map_click_basic_ET_sum_,0.00069447194
journals.pic_1.next_ET_median_,0.00069442845
navigate_click_undefined_ET_q25_,0.00069415796
block_magnify_ET_std_next_,0.0006941209
archivist_ET_sum_,0.0006929552
chap2_finale_c_ET_mean_,0.0006929388
journals.pic_0.next_ET_sum_next_,0.0006928703
map_click_close_ET_q75_next_,0.0006924242
notebook_click_open_event_name_counts,0.00069215003
tunic.capitol_0_ET_sum_next_,0.00069202384
tunic_ET_median_next_,0.000691727
janitor_ET_q25_,0.0006915215
tobasement_ET_sum_next_,0.0006901742
tomap_ET_sum_,0.0006894901
tunic.capitol_1_ET_sum_,0.0006894137
