feature,mean
session_number_,0.01104684
11_LEVEL_count,0.008006568
text_fqid_unique_,0.00554681
word_the,0.0050839433
word_to,0.00410296
tunic.historicalsociety.stacks_room_fqid_counts,0.0038666837
reader_bingo_indexCount,0.003211533
journals.pic_1.next_fqid_counts,0.0022404979
tocloset_dirty_ET_std_next_,0.0021679734
worker_ET_q25_,0.0021479086
tunic.humanecology.frontdesk.worker.intro_ET_q25_,0.0020520997
9_LEVEL_count,0.0020372362
word_q25_is,0.0019536016
word_q25_cleaner,0.0018677516
journals_bingo_indexCount,0.0018566004
hover_duration_q75_,0.0018324348
word_median_cleaner,0.0018231847
tunic.kohlcenter.halloffame_ET_std_next_,0.0017667173
word_std_next_found,0.0017454342
tunic.historicalsociety.frontdesk_room_fqid_counts,0.0017417441
tunic.kohlcenter.halloffame_ET_mean_next_,0.0017390677
reader_fqid_counts,0.0017372993
word_mean_cleaner,0.001646931
tunic.kohlcenter.halloffame_ET_sum_next_,0.0016370179
person_click_basic_ET_median_,0.001615165
word_std_found,0.0016102617
tunic.drycleaner_fqid_counts,0.0015959824
word_it,0.0015709382
word_q25_to,0.0015682562
object_hover_undefined_event_name_counts,0.0015632822
tunic.kohlcenter.halloffame_ET_mean_,0.0015498912
tunic.historicalsociety.frontdesk.archivist.foundtheodora_text_fqid_counts,0.0015100008
tunic.kohlcenter.halloffame_ET_q25_next_,0.0015027606
word_median_Wells,0.0014752758
journals.pic_1.next_ET_std_next_,0.0014720788
tunic.historicalsociety.closet_dirty.gramps.nothing_ET_sum_,0.0014338758
word_sum_cleaner,0.0014288286
tunic.historicalsociety.frontdesk.archivist.newspaper_recap_ET_mean_next_,0.0014030263
tunic.historicalsociety.stacks_ET_sum_,0.0013774406
tunic.kohlcenter.halloffame_ET_median_next_,0.0013691437
word_found,0.0013250038
journals.pic_1.next_ET_sum_,0.0013096546
word_q25_the,0.0013079084
tostacks_fqid_counts,0.0013043561
navigate_click_undefined_event_name_counts,0.0012992532
tobasement_fqid_counts,0.001274835
word_std_Gramps,0.0012735187
tunic.historicalsociety.closet_dirty.gramps.nothing_ET_sum_next_,0.0012671782
tunic.historicalsociety.closet_dirty.gramps.nothing_ET_q75_next_,0.001264511
word_q75_cleaner,0.0012630816
janitor_ET_mean_next_,0.0012573408
tunic.kohlcenter.halloffame_ET_sum_,0.0012559191
tunic.drycleaner.frontdesk.worker.hub_ET_q25_,0.0012413411
tunic.humanecology.frontdesk.worker.intro_ET_q75_,0.0012305152
observation_click_basic_ET_q75_,0.001218628
observation_click_basic_ET_mean_,0.0012154713
logbook_fqid_counts,0.0012073083
tunic.historicalsociety.closet_dirty.gramps.nothing_ET_q25_,0.0012067837
word_q75_you,0.0012066831
tocloset_dirty_ET_sum_,0.0012029156
tunic.library.microfiche_room_fqid_counts,0.0011970119
toentry_ET_sum_,0.0011747421
observation_click_basic_ET_median_,0.001169761
tunic.historicalsociety.closet_dirty.gramps.news_ET_median_,0.0011527062
tunic.kohlcenter.halloffame_ET_median_,0.0011404858
word_median_Oh,0.001139273
12_ET_sum_,0.0011379545
logbook.page.bingo_ET_mean_,0.0011379053
navigate_click_undefined_ET_sum_,0.001137346
tohallway_ET_std_next_,0.0011337486
word_q25_find,0.001130641
tunic.historicalsociety.closet_dirty.gramps.news_ET_q25_,0.0011267549
tunic.humanecology.frontdesk.worker.intro_ET_median_,0.0011195964
word_q25_that,0.0011194187
word_median_to,0.0011117951
word_sum_next_cleaning,0.0010961086
tunic.library.frontdesk.worker.wells_recap_ET_sum_,0.0010948479
logbook.page.bingo_ET_sum_,0.0010917581
tunic.drycleaner.frontdesk.worker.hub_ET_median_,0.0010903608
word_median_can,0.0010863765
tunic.kohlcenter_ET_mean_next_,0.0010729578
tunic.kohlcenter.halloffame_ET_q75_,0.0010705924
tunic.historicalsociety.closet_dirty.gramps.archivist_ET_sum_,0.0010621804
tunic.drycleaner.frontdesk_ET_q25_,0.0010513087
word_q25_need,0.0010492147
word_std_next_it,0.0010442863
word_sum_found,0.0010359738
journals.pic_0.next_ET_std_next_,0.001035553
word_q25_it,0.0010329396
12_ET_std_next_,0.0010318476
tunic.historicalsociety.frontdesk.block_magnify_ET_q25_,0.0010308966
journals.pic_2.next_ET_sum_,0.0010275032
tunic.historicalsociety.closet_dirty.gramps.nothing_ET_median_next_,0.0010216129
word_std_next_cleaner,0.0010172856
tunic.historicalsociety.frontdesk.archivist.newspaper_recap_ET_q25_,0.001016504
word_median_the,0.0010155748
tunic.historicalsociety.closet_dirty.gramps.archivist_ET_q75_,0.0010135163
tunic.kohlcenter.halloffame_ET_q25_,0.0010104881
cutscene_click_basic_ET_median_,0.0010065577
tunic.historicalsociety.frontdesk.archivist.newspaper_recap_ET_median_next_,0.0010030789
word_q25_1916,0.0010025426
tunic.historicalsociety.frontdesk.archivist.have_glass_ET_median_,0.0009989144
cutscene_click_basic_ET_std_,0.0009970774
journals.pic_1.next_ET_sum_next_,0.000996561
tunic.historicalsociety.frontdesk.archivist.newspaper_recap_ET_sum_,0.0009949298
journals.pic_1.next_ET_std_,0.0009948077
journals_fqid_counts,0.0009932924
tohallway_ET_sum_,0.0009910895
worker_ET_median_,0.0009904108
cutscene_click_basic_ET_q75_,0.0009822748
tunic.historicalsociety.closet_dirty.gramps.nothing_ET_median_,0.0009809006
tunic.historicalsociety.closet_dirty.gramps.nothing_ET_std_next_,0.0009784754
journals.pic_1.next_ET_q25_,0.000977598
tunic.historicalsociety.closet_dirty.gramps.helpclean_ET_mean_next_,0.00097614666
tunic.historicalsociety.closet_dirty.gramps.archivist_ET_std_next_,0.00097596477
tobasement_ET_sum_,0.0009725239
hover_duration_mean_,0.00097198813
archivist_fqid_counts,0.00097047916
tunic.drycleaner_ET_sum_,0.0009673686
journals.pic_2.next_ET_std_next_,0.0009636481
logbook.page.bingo_ET_q75_,0.0009615372
word_mean_Gramps,0.0009552654
notification_click_basic_ET_q25_,0.00095484155
tunic.historicalsociety.closet_dirty.gramps.nothing_ET_q25_next_,0.0009546947
reader.paper1.next_ET_q25_,0.0009462073
word_median_and,0.0009456038
object_click_basic_event_name_counts,0.0009437908
tunic.historicalsociety.closet_dirty.gramps.news_ET_mean_,0.00094334164
word_median_Jo,0.00094169314
reader_ET_sum_next_,0.0009333225
word_q75_Wells,0.0009331118
tunic.historicalsociety.frontdesk.archivist.newspaper_recap_ET_q75_next_,0.00093305967
tunic.kohlcenter_ET_q75_next_,0.00093177106
logbook.page.bingo_ET_std_,0.0009305634
trigger_scarf_ET_q25_,0.0009286158
tunic.historicalsociety.frontdesk.archivist.newspaper_ET_q25_,0.00092853257
word_std_you,0.0009257248
tunic.historicalsociety.frontdesk.magnify_ET_q25_,0.0009216594
word_sum_you,0.00091988215
word_std_help,0.0009198738
word_q25_cleaning,0.00091730163
tunic.kohlcenter.halloffame_ET_std_,0.00091680157
journals_ET_std_next_,0.0009165584
word_q75_and,0.0009161704
reader.paper1.next_ET_median_,0.00091575785
tunic.historicalsociety.collection_ET_std_next_,0.00091414555
word_sum_cleaning,0.0009072153
word_q25_Oh,0.00090687576
logbook_bingo_indexCount,0.0009036015
journals.pic_0.next_ET_sum_,0.0009023879
tunic.kohlcenter.halloffame_ET_q75_next_,0.00090014073
tunic.historicalsociety.frontdesk.magnify_ET_q75_,0.0008989291
reader_ET_sum_,0.0008982829
businesscards.card_1.next_ET_median_,0.00089797634
tunic.historicalsociety.frontdesk.archivist.newspaper_recap_ET_mean_,0.00089587236
person_click_basic_ET_q75_,0.00089288224
word_median_it,0.0008895945
word_median_suffragist,0.0008884912
map_hover_basic_ET_sum_,0.0008878879
tunic.historicalsociety.closet_dirty.gramps.archivist_ET_mean_,0.00088728126
tunic.kohlcenter_ET_median_next_,0.0008804369
tunic.historicalsociety.frontdesk.magnify_ET_median_,0.0008802112
tunic.library.frontdesk.worker.wells_ET_q25_,0.0008789015
trigger_scarf_ET_std_,0.00087828224
tunic.historicalsociety.frontdesk.archivist.hello_ET_q25_,0.00087543536
tunic.historicalsociety.closet_dirty.trigger_scarf_ET_q25_,0.0008748336
tunic.historicalsociety.entry_ET_sum_,0.00087189896
tunic.drycleaner.frontdesk.worker.done_ET_std_,0.0008712636
word_q25_suffragist,0.0008704177
11_ET_std_next_,0.0008692013
block_ET_median_,0.00086852134
map_click_undefined_ET_sum_,0.00086633704
word_q25_slip,0.0008653473
tunic.historicalsociety.frontdesk.archivist.newspaper_recap_ET_median_,0.00086133135
notebook_click_close_ET_std_,0.000860587
tunic.historicalsociety.closet_dirty_ET_median_,0.00086014386
tocloset_dirty_ET_q75_next_,0.00085986865
word_q75_help,0.00085945654
tunic.kohlcenter_ET_std_next_,0.00085854466
tunic.historicalsociety.basement_ET_std_next_,0.0008578296
tunic.historicalsociety.closet_dirty.door_block_talk_ET_sum_,0.0008560359
word_q25_Gramps,0.00085500703
reader.paper1.next_ET_sum_next_,0.0008511746
word_median_need,0.00085082545
tunic.library.microfiche_ET_q75_,0.00084453507
door_block_talk_ET_sum_,0.00084419054
chap2_finale_c_ET_median_,0.00084407383
tunic.historicalsociety.frontdesk.archivist.newspaper_ET_median_,0.0008439855
gramps_fqid_counts,0.0008437625
tunic.historicalsociety.stacks.block_ET_q75_,0.0008431995
janitor_ET_sum_next_,0.0008429976
tunic.historicalsociety.closet_dirty.gramps.nothing_ET_mean_,0.0008419513
tunic.historicalsociety.closet_dirty.gramps.helpclean_ET_q75_next_,0.0008379489
tunic.historicalsociety.frontdesk.archivist.newspaper_recap_ET_q25_next_,0.000836065
word_mean_you,0.0008345117
tostacks_ET_sum_,0.00083236047
tunic.kohlcenter_ET_median_,0.0008320736
businesscards.card_1.next_ET_q25_,0.0008308982
janitor_ET_std_next_,0.00083083287
tunic.historicalsociety.collection_ET_median_next_,0.0008308155
tunic.capitol_1.hall.boss.haveyougotit_ET_mean_,0.0008298799
journals.pic_2.next_fqid_counts,0.0008292246
tunic.capitol_1.hall.boss.haveyougotit_ET_sum_,0.000829197
tunic.drycleaner.frontdesk.worker.hub_ET_std_next_,0.0008276353
tocollection_ET_q75_next_,0.0008270926
observation_click_basic_ET_sum_,0.00082430436
word_q25_next_and,0.0008221158
tunic.library.frontdesk.worker.wells_ET_sum_,0.0008221145
checkpoint_basic_ET_sum_,0.0008219972
businesscards.card_0.next_ET_q75_,0.000819493
tostacks_ET_std_next_,0.0008166767
tunic.historicalsociety.frontdesk.archivist.hello_ET_sum_next_,0.0008163717
word_mean_and,0.00081618596
tunic.historicalsociety.closet_dirty.gramps.helpclean_ET_median_next_,0.00081477227
tunic.historicalsociety.stacks.block_ET_sum_next_,0.00081423705
tunic.historicalsociety.basement.janitor_ET_mean_next_,0.00081391394
tunic.historicalsociety.closet_dirty.gramps.archivist_ET_q25_,0.00081343163
word_std_cleaning,0.00081341324
tunic.drycleaner.frontdesk_ET_std_next_,0.0008108953
tunic.historicalsociety.closet_dirty.gramps.nothing_ET_mean_next_,0.00081084395
tofrontdesk_fqid_counts,0.0008093844
tunic.historicalsociety.closet_dirty.gramps.archivist_ET_std_,0.0008066578
tunic.library.frontdesk.worker.wells_recap_ET_q25_,0.0008043324
tunic.kohlcenter_ET_sum_,0.0008037901
tunic.historicalsociety.frontdesk.block_magnify_ET_sum_,0.00080243463
observation_click_basic_ET_q25_,0.0008014731
reader.paper0.next_ET_mean_,0.000800926
tunic.historicalsociety.basement.janitor_ET_q75_next_,0.0008007821
tofrontdesk_ET_std_next_,0.0008000671
gramps_ET_q25_,0.00079624227
reader.paper2.bingo_ET_std_,0.0007943351
checkpoint_basic_ET_q75_,0.0007939682
tunic.capitol_0_ET_median_next_,0.000793209
tunic.drycleaner.frontdesk_room_fqid_counts,0.0007928164
checkpoint_basic_ET_median_,0.0007925461
tocloset_dirty_ET_std_,0.0007921527
tunic.historicalsociety.closet_dirty_ET_std_next_,0.0007898622
tunic.library.microfiche.reader.paper2.bingo_ET_q25_,0.00078969746
trigger_scarf_ET_q75_,0.00078953884
reader.paper1.next_ET_mean_,0.00078914553
gramps_ET_median_,0.0007879937
word_q75_Theodora Youmans,0.0007873772
notebook_click_prev_ET_mean_,0.00078736484
object_click_basic_ET_sum_,0.00078659377
word_q75_found,0.0007865108
tunic.historicalsociety.frontdesk.archivist.newspaper_recap_ET_q75_,0.0007847372
word_q75_cleaning,0.0007846676
tunic.historicalsociety.closet_dirty.gramps.news_ET_q75_,0.00078422326
notebook_click_close_ET_mean_,0.0007840574
object_hover_undefined_ET_sum_next_,0.00078269956
chap2_finale_c_ET_sum_,0.0007826348
tunic.historicalsociety.stacks.block_ET_sum_,0.00078134
tunic.historicalsociety.closet_dirty.trigger_scarf_ET_mean_,0.0007809393
tunic.historicalsociety.frontdesk.archivist.have_glass_ET_std_,0.00077884796
tocollection_ET_std_next_,0.00077871006
word_median_find,0.00077813293
reader.paper1.next_ET_std_next_,0.00077750173
tunic.kohlcenter_ET_sum_next_,0.0007769241
tunic.kohlcenter_ET_q25_next_,0.0007739248
tunic.historicalsociety.closet_dirty.gramps.nothing_ET_std_,0.0007732475
tunic.historicalsociety.frontdesk.archivist.have_glass_ET_sum_next_,0.0007731791
block_ET_mean_,0.0007731001
notebook_click_prev_ET_sum_next_,0.0007730779
tunic.historicalsociety.closet_dirty.gramps.nothing_ET_q75_,0.00077267975
observation_click_basic_ET_std_next_,0.00076872733
word_mean_Wells,0.00076779723
tunic.capitol_1.hall.boss.haveyougotit_ET_q75_,0.0007663351
businesscards.card_0.next_ET_mean_,0.0007658774
word_q25_Theodora Youmans,0.00076427404
tunic.historicalsociety.closet_dirty.gramps.archivist_ET_mean_next_,0.0007637286
map_click_close_ET_std_,0.000763664
tunic.capitol_0_ET_mean_next_,0.00076353096
word_q75_is,0.0007629277
reader.paper2.next_ET_std_next_,0.00076291134
word_mean_suffragist,0.0007608442
businesscards.card_0.next_ET_q25_,0.00075991877
tunic.historicalsociety.closet_dirty.gramps.helpclean_ET_q25_next_,0.0007595328
tunic.kohlcenter_ET_mean_,0.0007593766
block_ET_q75_,0.0007593306
notification_click_basic_ET_sum_,0.0007589282
word_sum_slip,0.0007585343
tostacks_ET_mean_,0.00075631536
businesscards_fqid_counts,0.00075446715
tunic.kohlcenter_ET_q25_,0.00075236673
word_q25_Wells,0.0007523551
tunic.historicalsociety.frontdesk.archivist.newspaper_recap_ET_std_,0.0007515264
tunic.historicalsociety.frontdesk.archivist.have_glass_recap_ET_sum_,0.0007502236
what_happened_ET_q25_,0.00074946886
tunic.historicalsociety.closet_dirty.trigger_scarf_ET_std_,0.0007484356
tunic.capitol_1.hall_room_fqid_counts,0.00074810605
what_happened_ET_std_next_,0.000748032
tunic.historicalsociety.frontdesk.archivist.have_glass_recap_ET_sum_next_,0.0007480111
boss_ET_std_next_,0.00074742327
person_click_basic_ET_q25_,0.00074675266
tunic.historicalsociety.entry_ET_median_,0.00074657635
tunic.drycleaner.frontdesk.worker.done_ET_median_,0.00074551714
businesscards.card_1.next_ET_std_next_,0.0007452938
trigger_coffee_ET_median_,0.00074522325
tunic.historicalsociety.closet_dirty.gramps.archivist_ET_median_,0.0007450672
tobasement_ET_std_,0.00074485625
businesscards.card_1.next_ET_q75_,0.0007436481
tunic.historicalsociety.stacks.block_ET_mean_next_,0.0007434365
tunic.drycleaner.frontdesk.worker.hub_ET_q75_,0.00074263354
tunic.historicalsociety.frontdesk.magnify_ET_sum_,0.0007418004
tunic.historicalsociety.closet_dirty.photo_ET_q25_,0.0007414853
reader.paper0.next_ET_q75_,0.0007384155
tunic.historicalsociety.closet_dirty.door_block_talk_ET_q75_,0.0007365449
journals.hub.topics_ET_std_next_,0.0007364594
map_click_undefined_ET_sum_next_,0.00073610514
tunic.humanecology_ET_std_next_,0.0007354269
tunic.capitol_1.hall.boss.haveyougotit_ET_std_next_,0.00073532533
logbook.page.bingo_ET_median_,0.00073416485
hover_duration_std_,0.00073371077
journals.pic_2.next_ET_std_,0.0007336524
12_LEVEL_count,0.0007321469
tunic.historicalsociety.stacks_ET_q75_,0.00073146034
tunic.historicalsociety.closet_dirty.trigger_scarf_ET_median_,0.0007312323
tunic.library.microfiche_ET_sum_next_,0.0007305884
photo_ET_q75_,0.00072889647
month,0.0007284765
reader_ET_median_,0.00072769966
journals_ET_std_,0.0007267836
tunic.drycleaner.frontdesk.worker.done_ET_mean_,0.0007250691
11_ET_median_,0.0007248033
object_hover_basic_ET_median_next_,0.00072374963
magnify_ET_std_next_,0.0007220369
tunic.humanecology.frontdesk.worker.badger_ET_sum_next_,0.00072143
notebook_click_close_ET_sum_,0.00071964064
tunic.library.frontdesk.wellsbadge.hub_ET_q75_,0.0007185419
businesscards.card_1.next_ET_sum_next_,0.00071794353
block_0_ET_mean_,0.0007178195
block_ET_std_,0.00071775005
toentry_ET_mean_,0.0007170125
tunic.humanecology.frontdesk_ET_mean_,0.0007159781
person_click_basic_ET_std_next_,0.0007155046
tunic.historicalsociety.closet_dirty.gramps.helpclean_ET_mean_,0.0007142889
tocollection_ET_mean_,0.00071360264
logbook_ET_std_next_,0.00071346737
word_std_can,0.0007121349
tobasement_ET_mean_,0.0007104916
tunic.capitol_1.hall_ET_sum_next_,0.00070990936
room_fqid_unique_,0.00070883305
word_std_need,0.00070820266
reader.paper2.bingo_ET_std_next_,0.0007068883
tunic.drycleaner.frontdesk.worker.hub_ET_sum_,0.00070649886
word_median_this,0.0007059286
what_happened_ET_sum_next_,0.0007057759
word_sum_and,0.0007056333
tunic.capitol_0.hall_ET_q25_next_,0.0007052799
tunic.drycleaner.frontdesk.logbook.page.bingo_ET_q25_,0.00070501684
tunic.historicalsociety.frontdesk.archivist.have_glass_ET_q25_,0.00070377806
tunic.humanecology.frontdesk.worker.intro_ET_std_next_,0.00070375233
businesscards_ET_sum_,0.0007037193
6_ET_std_,0.0007032097
businesscards.card_1.next_ET_mean_,0.0007031222
word_mean_cleaning,0.00070300605
reader.paper0.prev_ET_median_,0.0007026274
map_click_undefined_ET_mean_,0.0007026175
businesscards.card_1.next_ET_std_,0.0007025556
word_median_you,0.00070152147
notebook_click_prev_ET_median_next_,0.0007015121
tunic.historicalsociety.entry_ET_std_,0.000701481
cutscene_click_basic_ET_sum_,0.00070102874
tunic.historicalsociety.closet_dirty.what_happened_ET_sum_next_,0.00069956586
object_click_basic_ET_q25_,0.0006995271
tunic.library_fqid_counts,0.0006994602
tunic.humanecology.frontdesk_ET_q75_,0.00069830526
tunic.historicalsociety.frontdesk.archivist.newspaper_recap_ET_sum_next_,0.00069820334
reader.paper0.next_ET_sum_,0.00069750374
tunic.library.frontdesk.worker.wells_recap_ET_mean_,0.00069644465
tohallway_ET_std_,0.0006963422
block_magnify_ET_std_,0.00069552765
tunic.historicalsociety.frontdesk.magnify_ET_mean_,0.0006954642
tocloset_dirty_ET_sum_next_,0.0006945987
word_sum_Jo,0.00069430977
tohallway_ET_mean_,0.0006939939
screen_coor_y_mean_,0.00069387804
reader.paper1.next_ET_std_,0.0006928572
tunic.historicalsociety.closet_dirty.gramps.helpclean_ET_q75_,0.00069258094
tunic.historicalsociety.basement_ET_sum_,0.00069250364
what_happened_ET_median_,0.0006922493
notebook_click_close_ET_q75_,0.00069202605
tunic.historicalsociety.frontdesk.block_magnify_ET_q75_,0.0006917956
tunic.historicalsociety.frontdesk.archivist.have_glass_ET_q75_,0.00069107645
word_sum_help,0.00069088483
tunic.kohlcenter.halloffame_room_fqid_counts,0.0006908584
map_click_undefined_ET_std_next_,0.0006907063
tunic.library.frontdesk.worker.wells_ET_median_,0.0006906957
tunic.library.frontdesk.worker.wells_recap_ET_q75_,0.00068759255
reader.paper2.bingo_ET_q75_,0.00068695936
10_ET_std_,0.00068674656
tunic.historicalsociety.closet_dirty.gramps.news_ET_std_next_,0.00068661006
journals.pic_2.bingo_ET_std_,0.0006856567
tunic.historicalsociety.stacks.journals.pic_2.bingo_ET_std_next_,0.00068549556
tunic.historicalsociety.closet_dirty.gramps.archivist_ET_sum_next_,0.0006849819
janitor_ET_sum_,0.0006849268
journals.hub.topics_ET_sum_,0.000684492
notification_click_basic_ET_mean_,0.00068390387
object_hover_undefined_ET_std_,0.00068292685
tunic.historicalsociety.stacks.journals.pic_2.bingo_ET_median_,0.00068265566
tunic.historicalsociety.closet_dirty.gramps.helpclean_ET_q25_,0.0006825176
trigger_scarf_ET_median_,0.0006822593
8_LEVEL_count,0.0006822398
word_std_next_that,0.000682068
block_ET_std_next_,0.0006820054
businesscards.card_0.next_ET_std_,0.0006814072
tunic.historicalsociety.collection_ET_std_,0.0006812028
checkpoint_basic_ET_q25_,0.00068118813
tunic.historicalsociety_ET_sum_next_,0.00068054395
toentry_ET_q75_,0.0006801624
map_click_undefined_ET_median_,0.00068001845
word_q25_next_Ooh,0.00067811983
word_q75_this,0.00067799457
tunic.historicalsociety.closet_dirty.trigger_coffee_ET_q25_,0.00067798153
tomap_ET_q75_,0.00067773217
reader.paper2.prev_ET_mean_,0.0006777277
tofrontdesk_ET_q25_,0.00067738723
tunic.capitol_1.hall_ET_q25_,0.0006750449
navigate_click_undefined_ET_q25_next_,0.00067420444
janitor_ET_q75_,0.0006737183
tunic.historicalsociety.stacks.journals.pic_2.bingo_ET_q25_,0.0006733508
chap2_finale_c_ET_mean_,0.0006730972
wellsbadge_ET_std_next_,0.0006722306
block_ET_sum_next_,0.0006717545
notebook_click_prev_ET_q75_next_,0.0006716084
tunic.capitol_0_ET_q75_next_,0.00067095406
5_ET_sum_,0.0006709441
logbook_ET_sum_,0.00067081285
gramps_ET_q75_,0.0006708084
tunic.historicalsociety.stacks_ET_std_,0.00066918216
tostacks_ET_q25_next_,0.0006690264
tunic.historicalsociety.closet_dirty.door_block_talk_ET_std_next_,0.00066866586
tunic.capitol_1.hall.boss.haveyougotit_ET_std_,0.0006686195
word_sum_find,0.0006680775
tunic.historicalsociety.closet_dirty.door_block_talk_ET_sum_next_,0.0006679663
businesscards.card_1.next_fqid_counts,0.00066786475
word_can,0.0006674689
word_median_slip,0.0006668151
word_sum_next_Theodora Youmans,0.000666492
reader.paper0.prev_ET_sum_,0.0006662174
word_q75_Gramps,0.00066549424
tunic.library.frontdesk.worker.hello_ET_std_,0.00066533725
reader.paper0.prev_ET_mean_,0.0006651606
journals_ET_sum_,0.0006647104
tunic.humanecology.frontdesk.worker.intro_ET_mean_,0.0006646881
tunic.historicalsociety.stacks_ET_median_,0.0006641953
