feature,mean
object_click_basic_event_name_counts,0.008701467
word_median_next_you,0.007691306
word_q25_next_you,0.007262031
plaque_fqid_counts,0.0066585406
cutscene_click_basic_ET_median_,0.0055916905
cs_ET_median_next_,0.005240892
cutscene_click_basic_ET_median_next_,0.0046052826
tunic.capitol_0.hall_ET_sum_next_,0.0044126688
tunic.historicalsociety.collection_room_fqid_counts,0.004332418
word_median_next_help,0.0041256505
chap1_finale_ET_sum_next_,0.0039850813
word_q25_next_the,0.0039682873
word_sum_next_help,0.003687917
tunic.historicalsociety.collection.gramps.found_ET_median_next_,0.003528837
checkpoint_basic_ET_sum_,0.003514537
chap1_finale_c_ET_sum_,0.00347578
word_mean_next_help,0.0032899051
word_q75_next_help,0.0031669894
cs_ET_median_,0.003042492
session_number_,0.0029949478
word_q25_you,0.002987516
3_LEVEL_count,0.0029593178
tunic.historicalsociety.collection.cs_ET_median_next_,0.0029581864
word_median_you,0.0028974712
cs_ET_q25_,0.0028274467
tunic.capitol_0.hall_ET_sum_,0.0027263102
word_q25_it,0.0025927094
tunic.historicalsociety.collection.cs_ET_q25_,0.0023811534
tunic.historicalsociety.collection.gramps.found_ET_mean_,0.0022807005
tunic.historicalsociety.entry.groupconvo_ET_median_next_,0.0021799207
4_ET_sum_,0.0021767446
word_median_next_it,0.0021693564
word_sum_help,0.0020630541
word_median_next_is,0.0020439972
word_median_next_Wells,0.0020436698
word_q25_help,0.0020343305
tunic.historicalsociety.collection.gramps.found_ET_mean_next_,0.0020331098
word_sum_next_Wells,0.0019619502
word_mean_help,0.0019595958
checkpoint_basic_ET_q75_,0.001954949
groupconvo_ET_sum_next_,0.0019529382
tunic.historicalsociety.collection.gramps.found_ET_sum_,0.0019230214
word_q25_next_help,0.0019077209
checkpoint_basic_ET_q25_,0.0019015243
plaque_ET_sum_,0.0018977994
chap1_finale_c_ET_q75_,0.0018859167
checkpoint_basic_ET_median_,0.0018303504
chap1_finale_c_ET_mean_,0.0018291913
tunic.historicalsociety.collection.cs_ET_q25_next_,0.0018259546
groupconvo_ET_mean_next_,0.0018067367
word_mean_next_Wells,0.0017989791
tunic.historicalsociety.collection_ET_median_,0.0017934111
word_q25_the,0.0017924666
word_q25_that,0.0017725393
tunic.historicalsociety.entry.groupconvo_ET_q25_next_,0.0017673463
tunic.historicalsociety.collection_ET_q25_next_,0.0017645572
word_q75_next_is,0.001742616
tunic.historicalsociety.entry.groupconvo_ET_mean_next_,0.0017000198
groupconvo_ET_median_next_,0.0016959272
tunic.historicalsociety.collection.gramps.found_ET_q25_next_,0.001685932
4_ET_sum_next_,0.0016714599
tunic.historicalsociety.collection.gramps.found_ET_median_,0.0016686128
observation_click_basic_ET_q75_,0.001667463
tunic.historicalsociety.collection.cs_ET_median_,0.001662443
tunic.historicalsociety.collection.gramps.found_ET_q25_,0.0016522545
checkpoint_basic_ET_mean_,0.0016520907
word_median_help,0.0016481163
groupconvo_ET_q25_,0.0016418879
observation_click_basic_ET_sum_,0.0016368891
word_sum_next_it,0.0016142526
chap1_finale_c_ET_q25_,0.001609337
word_median_find,0.0015994629
report_ET_q75_,0.0015912082
tunic.historicalsociety.collection_ET_mean_,0.0015596891
word_median_the,0.0015443615
cs_ET_q25_next_,0.0015415797
report_ET_mean_,0.0015357139
word_q25_find,0.0015326553
word_median_next_the,0.0015249805
tunic.historicalsociety.collection.gramps.found_ET_q75_next_,0.001518248
3_ET_sum_next_,0.0015151466
tunic.historicalsociety.entry.groupconvo_ET_median_,0.001511374
word_sum_next_need,0.0014788663
chap1_finale_c_ET_median_,0.0014725107
tunic.historicalsociety.stacks_ET_sum_,0.0014619513
notebook_click_open_ET_std_next_,0.0014483955
navigate_click_undefined_ET_sum_next_,0.0014454324
tunic.historicalsociety.entry_ET_std_,0.0014370834
cutscene_click_basic_ET_mean_next_,0.0014216631
object_click_close_ET_std_,0.001409308
word_q75_next_Wells,0.001405432
directory_ET_std_,0.001403382
word_median_that,0.001396799
tunic.historicalsociety.collection.gramps.found_ET_sum_next_,0.0013863604
report_ET_median_,0.0013851197
tunic.historicalsociety.stacks_room_fqid_counts,0.0013828314
word_mean_find,0.0013821585
word_q75_next_need,0.0013520897
tunic.historicalsociety.entry.groupconvo_ET_sum_next_,0.0013504769
cutscene_click_basic_ET_q25_next_,0.001331608
directory_ET_std_next_,0.0013222782
tunic.historicalsociety.collection_ET_q25_,0.0013197918
directory_ET_mean_,0.001318006
word_q25_is,0.0013077575
cutscene_click_basic_ET_mean_,0.0013073009
word_q75_help,0.0013062338
tunic.historicalsociety.entry_ET_std_next_,0.0013057147
word_mean_next_need,0.0012934923
word_median_next_to,0.0012934898
tunic.historicalsociety.collection.cs_ET_mean_next_,0.0012800776
tunic.historicalsociety.stacks_ET_sum_next_,0.0012794499
notebook_click_close_ET_std_next_,0.0012757205
notebook_click_close_ET_mean_,0.001258171
notebook_click_basic_ET_mean_,0.0012511176
word_mean_is,0.0012481533
word_median_it,0.0012435787
notebook_click_close_event_name_counts,0.0012384745
chap1_finale_ET_std_next_,0.0012363379
notebook_click_open_ET_q75_next_,0.0012349116
word_mean_next_jersey,0.0012336747
page_median_,0.0012335324
2_ET_median_,0.0012308285
word_q25_next_Wells,0.0012243431
doorblock_ET_sum_,0.0012237594
word_sum_next_jersey,0.0012230014
word_q75_next_it,0.0012213191
directory_ET_mean_next_,0.0012191389
page_mean_,0.0012177526
word_mean_next_it,0.0012173802
