feature,mean
word_to,0.009115657
tunic.historicalsociety.entry.groupconvo_flag_ET_q25_next_,0.00833223
session_number_,0.0068953997
tunic.historicalsociety.entry.groupconvo_flag_ET_sum_next_,0.0063171135
tunic.historicalsociety.entry.groupconvo_flag_ET_q25_,0.0061970446
tunic.historicalsociety.entry.groupconvo_flag_ET_median_next_,0.004936229
tunic.historicalsociety.entry.groupconvo_flag_ET_median_,0.00468406
tunic.library.frontdesk_ET_sum_next_,0.003467456
tunic.flaghouse.entry.flag_girl.symbol_recap_ET_sum_,0.0032010828
tunic.library.frontdesk_ET_sum_,0.0030925209
tunic.wildlife.center.wells.nodeer_ET_q25_next_,0.0028766638
tunic.historicalsociety.entry.directory.closeup.archivist_ET_sum_,0.0028172915
tunic.wildlife.center.crane_ranger.crane_ET_q75_next_,0.0027476735
crane_ranger_ET_q75_,0.0027452416
worker_fqid_counts,0.0025470266
tunic.wildlife.center.crane_ranger.crane_ET_q75_,0.0024253717
tunic.historicalsociety.frontdesk.archivist_glasses.confrontation_recap_ET_sum_,0.0023172852
tunic.historicalsociety.closet_dirty_ET_sum_,0.0022900663
tunic.library.frontdesk_room_fqid_counts,0.0022874302
word_std_next_is,0.0022427894
tunic.historicalsociety.closet_dirty_ET_sum_next_,0.0021203277
word_the,0.0021069834
directory_fqid_counts,0.0020976125
crane_ranger_ET_q75_next_,0.0020210799
groupconvo_flag_ET_q25_next_,0.001999579
word_std_it,0.0019650504
tunic.wildlife.center.crane_ranger.crane_ET_std_next_,0.0019608706
worker_ET_sum_,0.0019404481
tunic.wildlife.center.wells.nodeer_ET_q25_,0.001936319
worker_ET_sum_next_,0.0019289977
tunic.historicalsociety.entry.directory.closeup.archivist_ET_sum_next_,0.0018953003
tunic.historicalsociety.frontdesk.archivist_glasses.confrontation_recap_ET_mean_,0.0018556934
room_fqid_unique_,0.0018327327
navigate_click_undefined_ET_sum_next_,0.0018305675
tunic.historicalsociety.entry.directory.closeup.archivist_ET_mean_next_,0.0018022985
tunic.historicalsociety.frontdesk.archivist_glasses.confrontation_recap_ET_median_,0.0017793649
tocloset_dirty_ET_sum_next_,0.0017678164
map_click_undefined_event_name_counts,0.0017255666
tunic.wildlife.center.crane_ranger.crane_ET_std_,0.0016776802
tunic.historicalsociety.closet_dirty_ET_std_next_,0.0016502193
crane_ranger_ET_std_next_,0.0015968768
tunic.historicalsociety.frontdesk.archivist_glasses.confrontation_recap_ET_q75_,0.0015937241
20_LEVEL_count,0.0015422533
word_q25_Wells,0.0015321706
tunic.historicalsociety.entry.groupconvo_flag_ET_mean_next_,0.0015297155
tunic.library.frontdesk.worker.flag_recap_ET_sum_next_,0.0015188864
tunic.flaghouse.entry.flag_girl.symbol_recap_ET_q75_,0.0015187699
word_std_next_Oh,0.0015137122
person_click_basic_ET_std_,0.0014979531
tunic.flaghouse.entry.flag_girl.symbol_recap_ET_mean_,0.001487084
tunic.historicalsociety.frontdesk.archivist_glasses.confrontation_recap_ET_std_,0.001444688
tunic.historicalsociety.frontdesk.archivist_glasses.confrontation_recap_ET_q75_next_,0.001443983
tunic.historicalsociety.closet_dirty_ET_std_,0.001440795
tunic.historicalsociety.entry.boss.flag_ET_median_next_,0.0014192382
tunic.historicalsociety.frontdesk.archivist_glasses.confrontation_recap_ET_q25_,0.0014170534
tunic.flaghouse.entry.flag_girl.symbol_recap_ET_std_next_,0.0013891875
tunic.historicalsociety.entry.directory.closeup.archivist_ET_q25_,0.0013788808
tunic.library.frontdesk.worker.flag_recap_ET_q25_,0.0013662304
flag_girl_fqid_counts,0.0013334713
