feature,mean
object_click_basic_ET_sum_,0.0066114906
pre8,0.004631753
journals_bingo_indexCount,0.0046277065
tunic.historicalsociety.stacks_room_fqid_counts,0.0041985493
journals.pic_2.next_ET_sum_,0.0035709017
room_fqid_unique_,0.0033391258
object_hover_undefined_ET_sum_,0.0032481174
tunic.library.microfiche_ET_sum_,0.0027051629
pre10,0.0026500807
object_hover_undefined_hover_sum_,0.0024111718
journals.pic_2.next_ET_std_,0.0023098434
11_ET_sum_,0.0022517955
journals.pic_2.next_ET_mean_,0.0021709013
journals.pic_0.next_ET_sum_,0.002107561
tunic.historicalsociety.stacks_ET_sum_,0.002106371
journals.pic_2.next_ET_q75_,0.0020454
reader.paper1.next_ET_sum_,0.0020034949
pre11,0.0019891935
fqid_unique_,0.0018958915
journals.pic_1.next_ET_sum_,0.0018522583
tunic.drycleaner.frontdesk.logbook.page.bingo_ET_sum_,0.0018399624
logbook.page.bingo_ET_sum_,0.0018385138
businesscards_ET_sum_,0.0018379218
pre6,0.0016419477
pre5,0.0016374481
tunic.drycleaner.frontdesk.logbook.page.bingo_ET_median_,0.0016351299
notification_click_basic_ET_median_,0.0015539348
reader.paper0.next_ET_sum_,0.0014909393
reader.paper1.next_ET_q75_,0.0014702315
pre9,0.0014569871
tunic.historicalsociety.collection_coord1_q25_,0.0014034971
tunic.drycleaner.frontdesk.logbook.page.bingo_ET_q75_,0.0013715527
tunic.drycleaner.frontdesk.logbook.page.bingo_ET_mean_,0.0013711939
tunic.historicalsociety.stacks.journals.pic_2.bingo_ET_sum_,0.0013146027
tunic.library.frontdesk.worker.droppedbadge_ET_median_,0.0012868075
word_q25_that,0.0012739772
session_number_,0.0012537373
worker_tunic.library.frontdesk.worker.droppedbadge_ET_median_,0.001243228
worker_tunic.library.frontdesk.worker.droppedbadge_ET_mean_,0.0012357461
tunic.library.frontdesk.worker.droppedbadge_ET_mean_,0.0012109254
worker_tunic.library.frontdesk.worker.droppedbadge_ET_q75_,0.0012006214
tunic.historicalsociety.stacks.journals.pic_2.bingo_ET_mean_,0.0011982785
businesscards.card_1.next_ET_std_,0.0011782522
worker_tunic.library.frontdesk.worker.droppedbadge_ET_q25_,0.0011531553
tunic.historicalsociety.collection_coord2_mean_,0.0011492905
tunic.library.frontdesk.worker.droppedbadge_ET_q75_,0.0011457377
journals.hub.topics_ET_sum_,0.0011444127
tunic.library.frontdesk.worker.droppedbadge_ET_q25_,0.0011344504
notification_click_basic_ET_sum_,0.001122437
worker_tunic.library.frontdesk.worker.droppedbadge_ET_sum_,0.0011131003
tunic.historicalsociety.stacks.journals.pic_2.bingo_ET_q75_,0.001104851
pre7,0.0011039244
reader.paper1.next_ET_mean_,0.0010925318
tunic.historicalsociety.collection_ET_std_,0.0010893561
block_tunic.historicalsociety.stacks.block_ET_q25_,0.0010885953
journals.hub.topics_ET_q75_,0.0010857164
notebook_click_next_ET_std_,0.0010843355
notification_click_basic_ET_mean_,0.0010752795
word_median_that,0.0010738226
tunic.historicalsociety.collection_ET_q75_,0.0010670898
tunic.library.frontdesk.worker.droppedbadge_ET_sum_,0.0010598531
reader_bingo_duration,0.0010569618
object_hover_undefined_ET_std_,0.0010505966
tunic.historicalsociety.collection_coord2_q75_,0.0010330549
businesscards.card_bingo.next_ET_sum_,0.001032875
businesscards.card_1.next_ET_sum_,0.0010265671
notification_click_basic_ET_q75_,0.0010193613
tunic.capitol_0.hall_coord2_min_,0.0010131899
tunic.historicalsociety.collection_ET_mean_,0.0010084274
tunic.historicalsociety.collection_coord2_q25_,0.0009995761
12_ET_sum_,0.0009995026
journals_ET_sum_,0.000995111
word_median_is,0.0009950829
notebook_click_prev_ET_std_,0.0009939746
