feature,mean
person_click_basic_ET_q25_,0.014353575
worker_ET_q25_,0.009960355
word_q25_is,0.009894167
worker_tunic.drycleaner.frontdesk.worker.hub_ET_q25_,0.009820601
word_q25_the,0.009456792
tunic.drycleaner.frontdesk.worker.hub_ET_q25_,0.0075948113
word_q25_you,0.007402225
worker_tunic.library.frontdesk.worker.wells_ET_q25_,0.0073385425
worker_tunic.library.frontdesk.worker.wells_ET_median_,0.006684682
tunic.library.frontdesk.worker.wells_ET_median_,0.0063876356
person_click_basic_ET_median_,0.0059608174
word_q25_to,0.005558762
word_q25_that,0.0052880044
tunic.library.frontdesk.worker.wells_ET_q25_,0.0049914015
tunic.historicalsociety.frontdesk_room_fqid_counts,0.0042410684
session_number_,0.003920303
word_median_to,0.0032378847
word_the,0.0032367634
archivist_ET_q25_,0.003167604
word_to,0.0029780387
archivist_tunic.historicalsociety.frontdesk.archivist.newspaper_ET_q25_,0.002545372
tunic.historicalsociety.frontdesk.archivist.newspaper_ET_q25_,0.0025209673
fqid_unique_,0.002339248
text_fqid_unique_,0.0022856074
worker_tunic.library.frontdesk.worker.hello_ET_q25_,0.002213126
word_it,0.0022063623
tunic.historicalsociety.stacks_room_fqid_counts,0.0021734252
navigate_click_undefined_ET_sum_,0.002128016
tunic.library.frontdesk.worker.hello_ET_q25_,0.0019886633
word_q25_Theodora Youmans,0.0019464919
archivist_tunic.historicalsociety.frontdesk.archivist.newspaper_ET_median_,0.0019387115
worker_tunic.library.frontdesk.worker.wells_ET_mean_,0.0019349447
tunic.historicalsociety.frontdesk.archivist.newspaper_ET_median_,0.0019143204
reader_bingo_indexCount,0.0019032499
word_median_the,0.0019006953
tunic.historicalsociety.stacks_ET_sum_,0.0018424547
worker_ET_median_,0.0018385896
word_median_cleaner,0.0017987716
word_q25_it,0.0017311292
tunic.kohlcenter.halloffame_room_fqid_counts,0.0016460062
tunic.historicalsociety.frontdesk_coord1_min_,0.0016126644
toentry_ET_sum_,0.0015566912
11_ET_sum_,0.0015305091
tunic.drycleaner.frontdesk_ET_q25_,0.001528129
tunic.library.microfiche_room_fqid_counts,0.0014869957
gramps_tunic.historicalsociety.closet_dirty.gramps.news_ET_median_,0.0014846874
word_median_is,0.0014629001
word_sum_cleaner,0.0014446656
tunic.kohlcenter.halloffame_coord1_q25_,0.0014356913
tunic.library.frontdesk.worker.wells_ET_mean_,0.0014037458
tunic.historicalsociety.frontdesk_ET_q25_,0.0013914576
word_mean_cleaner,0.0013832389
journals_bingo_indexCount,0.0013426928
object_click_basic_ET_sum_,0.0013210666
tunic.kohlcenter.halloffame_coord1_min_,0.0013189683
tunic.kohlcenter.halloffame_coord2_q75_,0.0013085648
word_q25_suffragist,0.0012753726
12_ET_sum_,0.0012653555
map_hover_basic_ET_sum_,0.0012549827
tunic.historicalsociety.closet_dirty.gramps.news_ET_median_,0.0012533937
tunic.library.frontdesk_room_fqid_counts,0.0012506795
tunic.kohlcenter.halloffame_coord2_std_,0.0012495109
word_median_it,0.0012445514
word_median_suffragist,0.0012401447
tunic.library.microfiche_ET_sum_,0.0012254387
5-12_ET_sum_,0.0011789766
tunic.kohlcenter.halloffame_ET_sum_,0.0011766842
worker_tunic.humanecology.frontdesk.worker.intro_ET_median_,0.0011719175
word_median_and,0.0011672942
observation_click_basic_ET_sum_,0.0011515205
block_tunic.historicalsociety.stacks.block_ET_sum_,0.0011428009
word_q25_cleaner,0.0011426971
journals.pic_1.next_ET_sum_,0.001140063
businesscards.card_1.next_ET_std_,0.0011357537
tunic.kohlcenter.halloffame_coord1_max_,0.0011321822
tunic.historicalsociety.entry_room_fqid_counts,0.0011209443
7_ET_sum_,0.0011184779
tunic.historicalsociety.entry_ET_sum_,0.0011156213
tunic.kohlcenter.halloffame_coord2_max_,0.0011110931
block_ET_sum_,0.0010969139
word_std_found,0.0010906663
tunic.historicalsociety.frontdesk.archivist.foundtheodora_ET_q25_,0.0010894012
object_hover_undefined_hover_q75_,0.0010885018
tunic.kohlcenter.halloffame_ET_median_,0.001086025
archivist_tunic.historicalsociety.frontdesk.archivist.foundtheodora_ET_q25_,0.0010859607
businesscards_ET_sum_,0.001080707
archivist_tunic.historicalsociety.frontdesk.archivist.foundtheodora_ET_std_,0.0010771293
tunic.historicalsociety.frontdesk.archivist.foundtheodora_ET_std_,0.0010644624
tunic.historicalsociety.stacks.block_ET_std_,0.0010538255
tunic.kohlcenter.halloffame_coord1_median_,0.0010527956
logbook_bingo_indexCount,0.0010506355
word_median_find,0.0010440253
tunic.kohlcenter.halloffame_ET_std_,0.0010404681
tunic.kohlcenter.halloffame_coord1_mean_,0.0010400657
worker_tunic.library.frontdesk.worker.wells_ET_q75_,0.0010252089
notebook_click_open_ET_sum_,0.0010193385
word_median_can,0.0010015772
tunic.historicalsociety.frontdesk.archivist.foundtheodora_ET_q75_,0.0010013613
word_median_Theodora Youmans,0.0010009954
notebook_click_basic_page_count_,0.0009844778
tunic.historicalsociety.stacks_coord1_min_,0.0009830176
person_click_basic_ET_q75_,0.0009790725
6_ET_sum_,0.0009787917
worker_tunic.humanecology.frontdesk.worker.intro_ET_q25_,0.00097459625
word_q75_and,0.0009732786
archivist_tunic.historicalsociety.frontdesk.archivist.foundtheodora_ET_median_,0.0009701606
archivist_tunic.historicalsociety.frontdesk.archivist.foundtheodora_ET_mean_,0.0009699949
tunic.kohlcenter.halloffame_ET_q25_,0.0009647399
word_q75_cleaner,0.0009639683
tunic.kohlcenter.halloffame_coord2_mean_,0.0009638409
tunic.kohlcenter.halloffame_coord2_q25_,0.00095494895
tunic.drycleaner.frontdesk.worker.hub_ET_median_,0.0009491217
notebook_click_close_ET_sum_,0.0009472504
tunic.drycleaner.frontdesk_room_fqid_counts,0.0009455965
tunic.historicalsociety.basement_ET_sum_,0.00094444526
tunic.historicalsociety.stacks.block_ET_sum_,0.00093959743
gramps_tunic.historicalsociety.closet_dirty.gramps.news_ET_q25_,0.00093594234
archivist_tunic.historicalsociety.frontdesk.archivist.foundtheodora_fqid_counts,0.0009353821
tunic.historicalsociety.frontdesk.archivist.foundtheodora_ET_sum_,0.0009322467
worker_tunic.drycleaner.frontdesk.worker.hub_ET_median_,0.0009281068
tunic.library.frontdesk.worker.hello_ET_median_,0.00092661823
word_std_Gramps,0.00092251675
tobasement_ET_sum_,0.00092227204
tunic.capitol_1.hall_room_fqid_counts,0.0009221299
word_mean_that,0.0009197819
tunic.humanecology.frontdesk_room_fqid_counts,0.00091812765
tunic.historicalsociety.closet_dirty.gramps.nothing_ET_mean_,0.0009174992
notebook_click_basic_ET_sum_,0.0009135524
tunic.historicalsociety.closet_dirty.gramps.nothing_ET_q75_,0.00091067574
archivist_tunic.historicalsociety.frontdesk.archivist.foundtheodora_ET_q75_,0.00091036217
journals.pic_0.next_ET_sum_,0.00090963556
worker_tunic.library.frontdesk.worker.wells_ET_sum_,0.0009088867
tunic.kohlcenter.halloffame_coord2_min_,0.00090070465
tunic.historicalsociety.closet_dirty.gramps.nothing_ET_median_,0.00089718105
tunic.historicalsociety.frontdesk.archivist.foundtheodora_ET_median_,0.00089627295
tunic.capitol_1.hall.boss.haveyougotit_ET_median_,0.00089110556
tunic.historicalsociety.frontdesk.archivist.have_glass_ET_q25_,0.00088926713
tunic.kohlcenter.halloffame_coord2_median_,0.0008878028
gramps_tunic.historicalsociety.closet_dirty.gramps.nothing_ET_median_,0.00088708627
notebook_click_basic_ET_std_,0.00088665594
businesscards.card_1.next_ET_sum_,0.0008859834
tunic.historicalsociety.frontdesk.archivist.newspaper_ET_q75_,0.0008858631
reader_ET_sum_,0.0008837071
block_tunic.historicalsociety.stacks.block_ET_median_,0.000883451
word_median_that,0.000880751
tunic.kohlcenter.halloffame_ET_mean_,0.0008796895
boss_tunic.capitol_1.hall.boss.haveyougotit_ET_median_,0.0008792773
tunic.historicalsociety.stacks.block_ET_q75_,0.0008782033
gramps_tunic.historicalsociety.closet_dirty.gramps.nothing_ET_mean_,0.0008760335
word_median_you,0.0008755763
map_click_close_ET_std_,0.00087161147
block_tunic.historicalsociety.stacks.block_ET_q75_,0.00086749456
archivist_tunic.historicalsociety.frontdesk.archivist.foundtheodora_ET_sum_,0.0008673145
tunic.historicalsociety.closet_dirty.trigger_scarf_ET_median_,0.00086589623
tunic.historicalsociety.basement_room_fqid_counts,0.00085012673
tunic.kohlcenter_ET_q75_,0.00084992754
tunic.capitol_1.hall_ET_sum_,0.0008456056
notebook_click_basic_ET_q75_,0.00084274507
tunic.historicalsociety.frontdesk.archivist.foundtheodora_ET_mean_,0.0008373427
word_q25_and,0.00083350396
tunic.historicalsociety.stacks.block_ET_mean_,0.0008303973
janitor_tunic.historicalsociety.basement.janitor_ET_sum_,0.00082952954
tunic.historicalsociety.frontdesk_coord2_max_,0.00082589017
word_q25_need,0.0008235663
tunic.kohlcenter_ET_sum_,0.0008224813
map_hover_basic_hover_sum_,0.0008222297
tunic.historicalsociety.frontdesk.archivist.newspaper_ET_sum_,0.0008195057
tunic.historicalsociety.frontdesk_coord1_max_,0.0008194203
tunic.humanecology.frontdesk.worker.intro_ET_q25_,0.0008187298
block_tunic.historicalsociety.stacks.block_fqid_counts,0.0008184834
word_mean_and,0.0008160296
door_block_talk_tunic.historicalsociety.closet_dirty.door_block_talk_ET_sum_,0.00081499614
tunic.kohlcenter.halloffame_coord1_std_,0.0008115557
tunic.historicalsociety.frontdesk_coord1_std_,0.0008106794
trigger_scarf_ET_std_,0.0008102394
cutscene_click_basic_ET_mean_,0.00080896105
tunic.library.frontdesk.worker.wells_ET_sum_,0.0008055952
tocollection_ET_q75_,0.00079883164
map_click_close_ET_q75_,0.0007959247
tunic.drycleaner.frontdesk.worker.takealook_ET_median_,0.00079263723
block_ET_std_,0.0007924938
tunic.capitol_1.hall.boss.haveyougotit_ET_q25_,0.00079152646
archivist_tunic.historicalsociety.frontdesk.archivist.newspaper_ET_mean_,0.0007861313
map_click_close_ET_mean_,0.0007845173
archivist_tunic.historicalsociety.frontdesk.archivist.newspaper_ET_q75_,0.0007823609
magnify_tunic.historicalsociety.frontdesk.magnify_ET_median_,0.0007769808
tunic.historicalsociety.basement.janitor_ET_sum_,0.0007753594
tocollection_ET_sum_,0.000773921
word_q75_Wells,0.00077390607
11_ET_q25_,0.00077309285
gramps_ET_q25_,0.0007729596
5_ET_sum_,0.0007719224
tunic.historicalsociety.closet_dirty.door_block_talk_ET_sum_,0.0007708531
11_ET_median_,0.0007704579
tunic.historicalsociety.stacks.block_ET_q25_,0.00076280447
block_tunic.historicalsociety.stacks.block_ET_std_,0.0007626424
tunic.library.frontdesk.worker.wells_ET_q75_,0.0007614955
tunic.historicalsociety.entry_coord1_mean_,0.0007608666
word_sum_that,0.0007595036
tunic.capitol_1.hall_coord1_min_,0.0007592741
gramps_tunic.historicalsociety.closet_dirty.gramps.nothing_ET_q75_,0.000758474
6_ET_median_,0.0007575751
word_sum_found,0.0007564528
archivist_ET_mean_,0.0007544662
word_found,0.00075383997
gramps_tunic.historicalsociety.closet_dirty.gramps.news_ET_q75_,0.00074758334
outtolunch_ET_mean_,0.0007473062
notebook_click_basic_ET_mean_,0.0007453691
map_click_basic_ET_std_,0.00074449746
tunic.historicalsociety.closet_dirty_ET_sum_,0.00073826645
reader.paper1.next_ET_std_,0.00073814264
gramps_tunic.historicalsociety.closet_dirty.gramps.archivist_ET_q75_,0.0007371891
worker_tunic.drycleaner.frontdesk.worker.done_ET_median_,0.0007369049
tunic.historicalsociety.closet_dirty.gramps.news_ET_q25_,0.0007345467
logbook.page.bingo_ET_mean_,0.00073403533
observation_click_basic_ET_q75_,0.0007335428
tunic.historicalsociety.entry_coord1_q25_,0.00073133834
block_ET_q25_,0.00073097507
worker_tunic.library.frontdesk.worker.hello_ET_mean_,0.000729623
elapsed_time_diff_q75_,0.00072577875
notebook_click_open_page_count_,0.00072498055
9_ET_sum_,0.00072287535
archivist_tunic.historicalsociety.frontdesk.archivist.need_glass_1_ET_mean_,0.0007214714
tunic.historicalsociety.closet_dirty.gramps.nothing_ET_sum_,0.0007213173
block_ET_q75_,0.00072058866
object_hover_undefined_hover_median_,0.000719894
gramps_tunic.historicalsociety.closet_dirty.gramps.nothing_ET_q25_,0.000719388
tunic.capitol_1.hall_coord2_min_,0.0007189063
tunic.humanecology_ET_std_,0.0007168034
map_click_close_ET_sum_,0.00071656494
word_sum_and,0.0007156289
word_mean_Wells,0.0007146401
word_q75_it,0.0007140577
tunic.historicalsociety.stacks.block_ET_median_,0.0007127439
tunic.drycleaner.frontdesk.worker.done_ET_median_,0.00071163
boss_tunic.capitol_1.hall.boss.haveyougotit_ET_sum_,0.00071107905
word_median_help,0.00071095384
what_happened_tunic.historicalsociety.closet_dirty.what_happened_ET_median_,0.0007108887
magnify_tunic.historicalsociety.frontdesk.magnify_ET_sum_,0.0007107053
logbook_ET_sum_,0.00070959923
tunic.library.frontdesk_coord2_min_,0.0007095536
word_median_need,0.000709265
tostacks_ET_sum_,0.00070870505
object_hover_undefined_hover_mean_,0.0007086644
word_std_cleaning,0.00070535607
archivist_ET_median_,0.0007044568
tunic.historicalsociety.closet_dirty.gramps.nothing_ET_q25_,0.00070309255
tunic.historicalsociety.frontdesk_ET_mean_,0.0007018205
word_median_Wells,0.000701573
journals.pic_1.next_ET_q25_,0.0007010229
