feature,mean
pre15,0.0034465885
pre14,0.003166999
pre16,0.001753798
session_number_,0.0014916535
tunic.historicalsociety.entry.groupconvo_flag_ET_q25_,0.0013525805
groupconvo_flag_tunic.historicalsociety.entry.groupconvo_flag_ET_q25_,0.0013260954
flag_girl_tunic.flaghouse.entry.flag_girl.symbol_recap_fqid_counts,0.0012242169
tunic.historicalsociety.frontdesk.archivist_glasses.confrontation_recap_ET_sum_,0.001201826
tunic.historicalsociety.entry.groupconvo_flag_ET_median_,0.0011666432
map_hover_basic_ET_sum_,0.0011629493
tunic.flaghouse.entry_room_fqid_counts,0.0011203061
tunic.historicalsociety.frontdesk_ET_sum_,0.0011041766
map_click_close_ET_std_,0.0010955508
word_you,0.0010850076
pre17,0.0010772974
archivist_glasses_tunic.historicalsociety.frontdesk.archivist_glasses.confrontation_recap_ET_q75_,0.0010691842
map_click_close_ET_sum_,0.0010603177
seescratches_ET_median_,0.0010586692
archivist_glasses_tunic.historicalsociety.frontdesk.archivist_glasses.confrontation_recap_ET_sum_,0.0010524058
tunic.flaghouse.entry.flag_girl.symbol_recap_ET_sum_,0.0010313787
notebook_click_close_ET_sum_,0.0010262054
tunic.historicalsociety.frontdesk.archivist_glasses.confrontation_recap_ET_q75_,0.0010203464
tunic.historicalsociety.frontdesk.archivist_glasses.confrontation_recap_ET_mean_,0.0010144473
flag_girl_tunic.flaghouse.entry.flag_girl.symbol_recap_ET_std_,0.0010044028
tunic.historicalsociety.entry.boss.flag_ET_median_,0.0010028528
tunic.drycleaner.frontdesk_room_fqid_counts,0.0009521653
groupconvo_flag_tunic.historicalsociety.entry.groupconvo_flag_ET_q75_,0.00094815146
word_to,0.00091957743
tunic.historicalsociety.entry.groupconvo_flag_ET_q75_,0.000916768
tunic.historicalsociety.closet_dirty_ET_sum_,0.0009122544
boss_tunic.historicalsociety.entry.boss.flag_ET_mean_,0.00090290874
tunic.historicalsociety.entry_coord1_max_,0.0009010543
tunic.flaghouse_ET_sum_,0.00090040406
word_median_need,0.0008990619
tunic.kohlcenter.halloffame_coord1_min_,0.0008935093
notebook_click_prev_ET_std_,0.0008926848
tunic.historicalsociety.entry.boss.flag_ET_mean_,0.00089257915
word_median_Wells,0.0008895457
directory_ET_std_,0.00088551623
notebook_click_basic_ET_sum_,0.00088297715
tostacks_ET_sum_,0.0008827683
word_mean_help,0.0008792954
archivist_glasses_ET_std_,0.0008751706
archivist_glasses_tunic.historicalsociety.frontdesk.archivist_glasses.confrontation_recap_ET_mean_,0.0008686806
journals_flag.pic_1.next_ET_q25_,0.0008683625
word_q25_Gramps,0.0008606897
word_q25_to,0.0008550423
toentry_ET_sum_,0.000848838
word_median_is,0.00084769656
groupconvo_flag_ET_q25_,0.00084725616
journals_flag.pic_1.next_ET_mean_,0.00084590365
tunic.flaghouse.entry.flag_girl.symbol_recap_ET_std_,0.0008436312
person_click_basic_ET_std_,0.0008422171
journals_flag.pic_1.next_ET_std_,0.0008334262
journals_flag.pic_1.next_ET_median_,0.0008321983
tunic.historicalsociety.cage.confrontation_ET_q75_,0.0008316768
tunic.historicalsociety.entry.directory.closeup.archivist_ET_q25_,0.00082976784
archivist_glasses_tunic.historicalsociety.frontdesk.archivist_glasses.confrontation_ET_median_,0.000829292
tunic.library.frontdesk_room_fqid_counts,0.0008277459
tunic.historicalsociety_ET_sum_,0.0008269726
tunic.historicalsociety.closet_dirty_room_fqid_counts,0.0008249255
word_median_can,0.00082313427
map_click_close_ET_median_,0.0008221004
hover_duration_std_,0.0008220866
worker_tunic.library.frontdesk.worker.flag_recap_ET_q75_,0.0008212715
tunic.wildlife.center.crane_ranger.crane_ET_q75_,0.00082061545
worker_tunic.library.frontdesk.worker.flag_recap_ET_sum_,0.0008155277
tunic.flaghouse.entry.flag_girl.hello_recap_ET_sum_,0.00081506395
word_q25_Wells,0.0008148525
boss_tunic.historicalsociety.entry.boss.flag_ET_q25_,0.0008127044
map_click_close_ET_q75_,0.0008106271
flag_girl_tunic.flaghouse.entry.flag_girl.symbol_recap_ET_sum_,0.000810398
word_sum_to,0.0008096984
journals_flag.pic_1.next_ET_q75_,0.0008078045
boss_tunic.historicalsociety.entry.boss.flag_ET_median_,0.0008071975
unlockdoor_ET_q25_,0.0008065486
tunic.humanecology.frontdesk_ET_sum_,0.00080349634
tunic.drycleaner.frontdesk.worker.done2_ET_q75_,0.0008028303
tunic.wildlife.center.crane_ranger.crane_ET_std_,0.0008027842
seescratches_tunic.historicalsociety.basement.seescratches_ET_median_,0.0008026885
tunic.humanecology.frontdesk_room_fqid_counts,0.0008022066
photo_ET_std_,0.00080042373
tunic.historicalsociety.entry.boss.flag_ET_q25_,0.0008002702
groupconvo_flag_tunic.historicalsociety.entry.groupconvo_flag_ET_median_,0.00079784426
tunic.historicalsociety.basement.seescratches_ET_q25_,0.00079617643
key_tunic.historicalsociety.frontdesk.key_ET_median_,0.0007949201
reader_flag.paper1.prev_ET_mean_,0.0007890316
tunic.library.frontdesk.worker.nelson_recap_ET_std_,0.00078881095
tunic.historicalsociety.frontdesk_room_fqid_counts,0.0007878891
crane_ranger_tunic.wildlife.center.crane_ranger.crane_ET_std_,0.00078775117
tunic.historicalsociety.entry_ET_sum_,0.0007871817
directory_ET_sum_,0.00078557734
word_q75_this,0.00078081817
20_ET_sum_,0.0007781114
word_q75_is,0.0007751185
tunic.library.frontdesk_coord2_std_,0.00077368686
teddy_tunic.historicalsociety.cage.teddy.trapped_ET_q75_,0.00077338243
wells_ET_q25_,0.00077324203
wells_tunic.wildlife.center.wells.nodeer_ET_q25_,0.0007729303
tunic.historicalsociety.cage.unlockdoor_ET_q25_,0.00077181344
boss_ET_median_,0.0007696878
tunic.drycleaner.frontdesk_ET_sum_,0.00076945004
tunic.historicalsociety.cage.glasses.afterteddy_ET_mean_,0.0007686111
tunic.library.frontdesk.worker.nelson_recap_ET_sum_,0.00076835736
wells_tunic.wildlife.center.wells.nodeer_recap_ET_sum_,0.000766851
22_ET_sum_,0.0007654013
worker_tunic.humanecology.frontdesk.worker.badger_fqid_counts,0.00076494314
tunic.historicalsociety.cage.confrontation_ET_q25_,0.00076486764
tunic.historicalsociety.entry.directory.closeup.archivist_ET_median_,0.00076268456
tunic.historicalsociety.frontdesk.archivist_glasses.confrontation_ET_q25_,0.00076229725
worker_tunic.drycleaner.frontdesk.worker.done2_ET_q75_,0.0007618064
journals_flag.pic_2.next_ET_sum_,0.0007616732
tunic.flaghouse.entry.colorbook_ET_median_,0.0007614585
