feature,mean
pre7,0.0044261604
pre8,0.0038985105
pre4,0.0037756483
pre6,0.0034250107
pre9,0.0032042088
pre5,0.0031956555
pre10,0.002913124
pre11,0.002373972
session_number_,0.0012322465
tunic.historicalsociety.frontdesk.archivist.foundtheodora_ET_median_,0.0011734571
door_block_talk_ET_sum_,0.0011341574
tunic.historicalsociety.basement_room_fqid_counts,0.0010796965
word_median_suffragist,0.0010665545
archivist_tunic.historicalsociety.frontdesk.archivist.foundtheodora_ET_mean_,0.0010603239
word_the,0.0010540732
archivist_ET_q75_,0.0010382526
door_block_talk_tunic.historicalsociety.closet_dirty.door_block_talk_ET_sum_,0.0010247522
tunic.historicalsociety.frontdesk.archivist.have_glass_ET_q25_,0.0010191272
door_block_talk_tunic.historicalsociety.closet_dirty.door_block_talk_ET_q25_,0.0010146447
tunic.drycleaner.frontdesk_ET_sum_,0.0010137287
janitor_tunic.historicalsociety.basement.janitor_ET_q75_,0.0010129908
tunic.historicalsociety.frontdesk.archivist.foundtheodora_ET_sum_,0.0010114243
archivist_tunic.historicalsociety.frontdesk.archivist.foundtheodora_ET_q25_,0.0009967258
tunic.historicalsociety.closet_dirty.door_block_talk_ET_q75_,0.0009868748
worker_tunic.library.frontdesk.worker.wells_ET_mean_,0.0009851314
tunic.historicalsociety.frontdesk_room_fqid_counts,0.0009812014
tunic.historicalsociety.frontdesk.archivist.newspaper_ET_q75_,0.0009696458
tunic.historicalsociety.frontdesk.archivist.newspaper_ET_q25_,0.00096805824
trigger_coffee_tunic.historicalsociety.closet_dirty.trigger_coffee_ET_median_,0.0009675742
tunic.historicalsociety.frontdesk.archivist.newspaper_ET_mean_,0.00096309796
door_block_talk_tunic.historicalsociety.closet_dirty.door_block_talk_ET_std_,0.0009606335
tunic.historicalsociety.closet_dirty.door_block_talk_ET_sum_,0.00095819595
word_sum_Gramps,0.0009573735
tunic.historicalsociety.closet_dirty.gramps.nothing_ET_q75_,0.00095596205
worker_tunic.library.frontdesk.worker.wells_ET_q75_,0.0009495626
cutscene_click_basic_ET_sum_,0.0009473422
tunic.drycleaner.frontdesk.logbook.page.bingo_ET_median_,0.00094374013
word_q75_can,0.00094097416
worker_tunic.library.frontdesk.worker.hello_ET_q75_,0.0009393497
word_mean_Gramps,0.00093746086
5_ET_q25_,0.000933089
word_q75_the,0.0009330834
hover_duration_std_,0.00093283865
archivist_tunic.historicalsociety.frontdesk.archivist.foundtheodora_ET_median_,0.0009313914
tunic.historicalsociety.frontdesk.archivist.have_glass_recap_ET_q75_,0.0009304582
word_std_it,0.0009276157
tunic.humanecology.frontdesk_coord1_std_,0.0009266461
tunic.historicalsociety.entry_room_fqid_counts,0.00092179293
word_median_the,0.00092051586
worker_tunic.drycleaner.frontdesk.worker.done_ET_sum_,0.00091979286
tunic.historicalsociety.stacks.journals.pic_2.bingo_ET_sum_,0.0009176981
notification_click_basic_ET_mean_,0.00091477967
word_q25_and,0.000913938
door_block_talk_ET_q25_,0.0009129983
tunic.historicalsociety.basement_coord1_min_,0.0009120615
tunic.library.frontdesk.worker.hello_ET_median_,0.00090904336
word_mean_Wells,0.0009074352
tunic.kohlcenter.halloffame_coord1_mean_,0.0009070168
tunic.library.frontdesk.worker.wells_ET_median_,0.0009070065
tunic.library.frontdesk.worker.wells_recap_ET_q25_,0.0009042541
worker_tunic.library.frontdesk.worker.wells_recap_ET_q25_,0.0009017941
tunic.historicalsociety.closet_dirty.gramps.nothing_ET_median_,0.0008994765
tunic.historicalsociety.closet_dirty_room_fqid_counts,0.00089940993
tunic.historicalsociety.closet_dirty.trigger_coffee_ET_sum_,0.0008971737
door_block_talk_tunic.historicalsociety.closet_dirty.door_block_talk_ET_median_,0.0008962554
word_sum_that,0.00089505565
tunic.historicalsociety.stacks_room_fqid_counts,0.00089500385
worker_tunic.library.frontdesk.worker.wells_ET_sum_,0.0008941418
tunic.historicalsociety.basement_ET_median_,0.00089342525
trigger_coffee_ET_q75_,0.0008926245
journals.pic_2.next_ET_sum_,0.0008909353
tunic.library.microfiche.reader.paper2.bingo_ET_sum_,0.0008865249
archivist_tunic.historicalsociety.frontdesk.archivist.foundtheodora_ET_q75_,0.00088363024
tunic.historicalsociety.closet_dirty.door_block_talk_ET_std_,0.0008830488
tunic.historicalsociety.closet_dirty.door_block_talk_ET_q25_,0.0008828116
tunic.historicalsociety.collection_coord2_max_,0.0008822655
logbook_bingo_indexCount,0.0008799509
fqid_unique_,0.00087850424
logbook_ET_median_,0.0008765389
magnify_tunic.historicalsociety.frontdesk.magnify_ET_q75_,0.000874859
trigger_scarf_ET_mean_,0.0008747049
notification_click_basic_ET_q75_,0.00087433716
worker_tunic.library.frontdesk.worker.wells_ET_std_,0.000873242
door_block_talk_ET_std_,0.000873041
word_mean_find,0.00087263447
word_q25_can,0.00087261584
archivist_tunic.historicalsociety.frontdesk.archivist.have_glass_ET_q25_,0.00087229506
gramps_tunic.historicalsociety.closet_dirty.gramps.archivist_ET_sum_,0.0008716557
screen_coor_x_median_,0.0008706192
object_click_basic_ET_q25_,0.00086991413
word_std_the,0.00086949335
tunic.drycleaner.frontdesk.logbook.page.bingo_ET_q25_,0.00086944626
tunic.drycleaner.frontdesk_room_fqid_counts,0.00086933136
tunic.historicalsociety.closet_dirty.photo_ET_q25_,0.00086860603
object_hover_undefined_hover_mean_,0.00086811336
word_mean_this,0.0008669564
map_hover_basic_ET_q75_,0.00086671143
tunic.humanecology.frontdesk.businesscards.card_bingo.bingo_ET_mean_,0.00086524605
reader_bingo_indexCount,0.000864603
