feature,mean
text_fqid_unique_,0.00649626
pre5,0.0063333563
pre4,0.005627126
tunic.historicalsociety.stacks_room_fqid_counts,0.005178309
session_number_,0.0044994554
11_ET_sum_,0.0042443867
journals_bingo_indexCount,0.003791419
word_to,0.0035518766
object_click_basic_ET_sum_,0.0031322432
tunic.library.microfiche_room_fqid_counts,0.0026726213
word_the,0.0023206011
tunic.historicalsociety.frontdesk_room_fqid_counts,0.0021108543
reader_bingo_indexCount,0.0019308977
worker_ET_median_,0.0019234404
worker_ET_q25_,0.0016752478
tunic.kohlcenter.halloffame_coord2_std_,0.0016485007
navigate_click_undefined_ET_sum_,0.0016482851
tunic.library.frontdesk.worker.wells_ET_median_,0.0016179036
tunic.kohlcenter.halloffame_coord1_q25_,0.0015452607
tunic.kohlcenter.halloffame_coord2_mean_,0.0015428531
journals.pic_1.next_ET_sum_,0.001531451
journals.pic_0.next_ET_sum_,0.0015300635
tunic.kohlcenter.halloffame_ET_q75_,0.001511121
tunic.humanecology.frontdesk.worker.intro_ET_q25_,0.0014530659
tunic.kohlcenter.halloffame_room_fqid_counts,0.0014213242
person_click_basic_ET_q25_,0.0013722102
tunic.library.microfiche_ET_sum_,0.0013540161
tunic.historicalsociety.basement_room_fqid_counts,0.0013490305
worker_tunic.humanecology.frontdesk.worker.intro_ET_median_,0.0013470558
tunic.drycleaner.frontdesk_ET_q25_,0.0013442874
tunic.kohlcenter.halloffame_coord1_q75_,0.0013299051
journals_ET_sum_,0.0013220602
tunic.humanecology.frontdesk.worker.intro_ET_median_,0.0013182138
archivist_ET_q25_,0.001273676
worker_tunic.drycleaner.frontdesk.worker.hub_ET_q25_,0.0012693832
tunic.kohlcenter.halloffame_ET_median_,0.0012383354
archivist_ET_q75_,0.0012364449
archivist_ET_median_,0.0011754587
tunic.kohlcenter.halloffame_coord2_min_,0.0011668528
tunic.historicalsociety.frontdesk.archivist.newspaper_ET_median_,0.0011634205
archivist_tunic.historicalsociety.frontdesk.archivist.have_glass_ET_median_,0.001157192
tunic.kohlcenter.halloffame_ET_q25_,0.0011501643
tunic.historicalsociety.stacks_ET_sum_,0.0011464481
fqid_unique_,0.0011371851
word_median_cleaner,0.0011335021
gramps_tunic.historicalsociety.closet_dirty.gramps.nothing_ET_q75_,0.0011324706
tunic.kohlcenter.halloffame_coord2_median_,0.0011318803
tunic.kohlcenter.halloffame_coord2_max_,0.0011309293
tunic.kohlcenter.halloffame_coord1_std_,0.0011248123
5-12_ET_sum_,0.0011145871
toentry_ET_sum_,0.001105195
tunic.historicalsociety.basement_ET_sum_,0.00110223
tunic.kohlcenter.halloffame_coord2_q25_,0.0010988622
tunic.historicalsociety.frontdesk.archivist.foundtheodora_ET_std_,0.0010985655
tunic.historicalsociety.frontdesk.archivist.need_glass_0_ET_sum_,0.0010717713
tunic.kohlcenter.halloffame_coord1_mean_,0.0010682167
tunic.kohlcenter.halloffame_coord1_min_,0.0010572089
tunic.kohlcenter.halloffame_ET_mean_,0.0010457049
word_Gramps,0.001042274
tocloset_dirty_ET_std_,0.0010315093
word_median_Wells,0.0010214421
tunic.historicalsociety.closet_dirty.gramps.nothing_ET_sum_,0.0010174453
map_hover_basic_hover_sum_,0.0010162925
logbook_bingo_indexCount,0.0010157888
person_click_basic_ET_q75_,0.001015422
gramps_tunic.historicalsociety.closet_dirty.gramps.nothing_ET_sum_,0.0010105082
tunic.historicalsociety.frontdesk.archivist.foundtheodora_ET_q25_,0.0010030391
tunic.historicalsociety.collection_ET_median_,0.0010013082
word_q75_cleaner,0.0010002858
word_sum_help,0.0009996078
logbook.page.bingo_ET_mean_,0.0009876849
tunic.drycleaner.frontdesk.worker.hub_ET_q25_,0.0009864586
object_hover_undefined_hover_q75_,0.0009858089
map_hover_basic_ET_sum_,0.0009765972
word_q25_that,0.0009746417
word_q25_is,0.00097408047
tunic.historicalsociety.frontdesk_ET_sum_,0.00097377645
worker_tunic.drycleaner.frontdesk.worker.hub_ET_median_,0.00097083347
word_q25_need,0.0009675727
word_sum_cleaner,0.00096672634
worker_tunic.humanecology.frontdesk.worker.intro_ET_q25_,0.00096462684
elapsed_time_diff_q25_,0.0009635134
tunic.historicalsociety.frontdesk.block_magnify_ET_median_,0.00095753215
word_q25_it,0.0009552965
worker_tunic.library.frontdesk.worker.wells_recap_ET_sum_,0.0009501252
gramps_tunic.historicalsociety.closet_dirty.gramps.archivist_ET_sum_,0.000938648
word_q75_you,0.00093825755
tunic.historicalsociety.closet_dirty.gramps.nothing_ET_mean_,0.000938179
journals.pic_2.next_ET_sum_,0.00093793654
tunic.capitol_1.hall_coord1_min_,0.00093590474
tunic.library.frontdesk.worker.wells_ET_mean_,0.000933328
archivist_tunic.historicalsociety.frontdesk.archivist.foundtheodora_ET_mean_,0.00093196623
worker_tunic.library.frontdesk.worker.wells_ET_median_,0.00092814956
archivist_tunic.historicalsociety.frontdesk.archivist.have_glass_ET_q75_,0.00092260673
archivist_tunic.historicalsociety.frontdesk.archivist.foundtheodora_ET_std_,0.0009146152
businesscards_ET_sum_,0.00091435167
tunic.historicalsociety.collection_coord2_q25_,0.000909903
object_hover_undefined_hover_median_,0.00090895273
tunic.historicalsociety.closet_dirty.gramps.archivist_ET_q25_,0.0009054978
tunic.historicalsociety.basement.janitor_ET_median_,0.00090440694
tunic.library.frontdesk_room_fqid_counts,0.0008966015
door_block_talk_ET_sum_,0.00089623115
word_mean_cleaner,0.0008957621
reader_ET_sum_,0.00089382636
janitor_tunic.historicalsociety.basement.janitor_ET_q75_,0.00089361874
tunic.historicalsociety.closet_dirty_room_fqid_counts,0.0008932912
tunic.drycleaner.frontdesk.worker.takealook_ET_sum_,0.0008898775
word_q25_to,0.00088687905
word_median_it,0.0008866233
tunic.kohlcenter.halloffame_ET_sum_,0.0008853444
tunic.kohlcenter.halloffame_coord2_q75_,0.0008846463
tunic.historicalsociety.frontdesk_ET_q75_,0.00087839935
logbook.page.bingo_ET_std_,0.0008779909
worker_tunic.library.frontdesk.worker.hello_short_ET_q25_,0.00087737327
gramps_tunic.historicalsociety.closet_dirty.gramps.nothing_ET_median_,0.00087729585
archivist_tunic.historicalsociety.frontdesk.archivist.foundtheodora_ET_median_,0.0008763441
gramps_tunic.historicalsociety.closet_dirty.gramps.nothing_ET_mean_,0.0008748728
tunic.kohlcenter_ET_std_,0.00087393343
word_sum_Theodora Youmans,0.00087169325
tocollection_ET_mean_,0.0008705642
word_sum_Wells,0.00086845073
worker_tunic.drycleaner.frontdesk.worker.takealook_ET_sum_,0.0008641486
tunic.historicalsociety.closet_dirty.gramps.nothing_ET_q75_,0.0008625658
object_hover_undefined_ET_sum_,0.00086058903
observation_click_basic_ET_sum_,0.0008603805
tunic.historicalsociety.entry_ET_sum_,0.0008589569
what_happened_ET_median_,0.0008587592
tunic.library.frontdesk.worker.wells_recap_ET_q75_,0.0008579413
