feature,mean
word_to,0.007062974
pre14,0.0062079597
tunic.historicalsociety.entry.groupconvo_flag_ET_q25_,0.005653532
groupconvo_flag_tunic.historicalsociety.entry.groupconvo_flag_ET_median_,0.0054568993
archivist_glasses_tunic.historicalsociety.frontdesk.archivist_glasses.confrontation_recap_fqid_counts,0.0053589595
groupconvo_flag_tunic.historicalsociety.entry.groupconvo_flag_ET_q25_,0.005298777
flag_girl_tunic.flaghouse.entry.flag_girl.symbol_recap_fqid_counts,0.0045293197
session_number_,0.0038919363
groupconvo_flag_ET_median_,0.0035256955
groupconvo_flag_ET_q25_,0.0030041533
tunic.historicalsociety.entry.groupconvo_flag_ET_median_,0.002983915
tunic.flaghouse.entry.flag_girl.symbol_recap_ET_std_,0.002755019
tunic.flaghouse.entry.flag_girl.symbol_recap_ET_sum_,0.0027465501
archivist_glasses_tunic.historicalsociety.frontdesk.archivist_glasses.confrontation_recap_ET_sum_,0.0026212565
archivist_glasses_tunic.historicalsociety.frontdesk.archivist_glasses.confrontation_recap_ET_std_,0.0025582076
flag_girl_tunic.flaghouse.entry.flag_girl.symbol_recap_ET_sum_,0.0024874196
word_q25_Wells,0.0023903844
word_the,0.0023883174
tunic.historicalsociety.frontdesk.archivist_glasses.confrontation_recap_ET_sum_,0.0022248055
tunic.flaghouse.entry.flag_girl.symbol_recap_ET_q75_,0.002217826
tunic.historicalsociety.closet_dirty_ET_sum_,0.0021893755
crane_ranger_tunic.wildlife.center.crane_ranger.crane_ET_std_,0.0021582104
crane_ranger_ET_q75_,0.0021152687
tunic.historicalsociety.frontdesk.archivist_glasses.confrontation_recap_ET_std_,0.0020330711
tocloset_dirty_ET_std_,0.0020083378
wells_ET_q25_,0.0020044344
tunic.historicalsociety.entry.groupconvo_flag_ET_q75_,0.0019353745
word_q25_need,0.001865082
tunic.wildlife.center.crane_ranger.crane_ET_q75_,0.0018302272
tunic.library.frontdesk_room_fqid_counts,0.0018240273
room_fqid_unique_,0.0017773785
tunic.wildlife.center.wells.nodeer_ET_q25_,0.0017760218
wells_tunic.wildlife.center.wells.nodeer_ET_q25_,0.0017182855
