iter	Logloss
0	0.6309696592
1	0.5761935044
2	0.5279059858
3	0.4863937904
4	0.4510085533
5	0.4190870371
6	0.3910383877
7	0.3660992934
8	0.3443170279
9	0.3249417171
10	0.3081548797
11	0.2938401119
12	0.2811542865
13	0.2697011123
14	0.2598920018
15	0.2515394297
16	0.2437606528
17	0.2367613127
18	0.2308128458
19	0.2250377868
20	0.2203320248
21	0.2158497454
22	0.211716192
23	0.2079346998
24	0.2046600747
25	0.2011959815
26	0.1986044482
27	0.1963472321
28	0.1941642781
29	0.1923132616
30	0.1902450926
31	0.1885523465
32	0.1872057037
33	0.1858286567
34	0.1846021576
35	0.1831486629
36	0.1822488395
37	0.1812737503
38	0.180249752
39	0.179211102
40	0.1784907576
41	0.1778150806
42	0.177136619
43	0.1766068112
44	0.1757659669
45	0.1750286881
46	0.1746174537
47	0.1740172207
48	0.1735766343
49	0.1730050084
50	0.172391937
51	0.1719870651
52	0.1716340164
53	0.1713377611
54	0.1707814346
55	0.1705187729
56	0.1701826748
57	0.1695988582
58	0.1693168822
59	0.1689080438
60	0.1684331353
61	0.1679572229
62	0.1675953508
63	0.1673275894
64	0.1671571281
65	0.1667724771
66	0.1665570085
67	0.1663069748
68	0.1659630732
69	0.1655503169
70	0.1653104828
71	0.1650061003
72	0.1647191865
73	0.1645764257
74	0.1643163706
75	0.1641346737
76	0.163926037
77	0.1636184166
78	0.1634242212
79	0.1631751913
80	0.1629363447
81	0.162699619
82	0.1624321652
83	0.1622421629
84	0.1620438715
85	0.1617471467
86	0.1615448241
87	0.1613630138
88	0.1611679765
89	0.1609646339
90	0.1608426122
91	0.1605136052
92	0.1603606125
93	0.1601274162
94	0.1599885733
95	0.1598371673
96	0.1596436194
97	0.1594056147
98	0.1591346801
99	0.158917803
100	0.1586861284
101	0.1585256399
102	0.1584082323
103	0.1582934149
104	0.1581646907
105	0.1579573492
106	0.1577985121
107	0.1576188388
108	0.1574412703
109	0.157188452
110	0.1570893386
111	0.1569361193
112	0.1567941681
113	0.1565419002
114	0.1563768139
115	0.1562269621
116	0.1560083202
117	0.1558564447
118	0.1556701498
119	0.1553952164
120	0.1552068493
121	0.1550336033
122	0.1549277713
123	0.1548052153
124	0.1545764225
125	0.1544623499
126	0.1542927628
127	0.1541249566
128	0.1538917602
129	0.1537405646
130	0.1535728556
131	0.1534136623
132	0.1532327262
133	0.1529946244
134	0.1527564577
135	0.1526338694
136	0.1524969207
137	0.1523335505
138	0.1521965857
139	0.1521472718
140	0.1519674853
141	0.1518420799
142	0.1516668264
143	0.1514052657
144	0.1513203021
145	0.1511612707
146	0.1509737131
147	0.1507926961
148	0.1506456613
149	0.1504698088
150	0.1501620103
151	0.1499214476
152	0.1497282398
153	0.1495893483
154	0.1494859771
155	0.1492949225
156	0.1491017956
157	0.1489297153
158	0.1487676403
159	0.148555021
160	0.1483717213
161	0.1482453931
162	0.1480839332
163	0.1479296778
164	0.1478091455
165	0.1477398212
166	0.1476028078
167	0.1474529884
168	0.1472470716
169	0.1471925609
170	0.1470804149
171	0.1469300612
172	0.1467976618
173	0.146685791
174	0.1465644007
175	0.1464228865
176	0.146273148
177	0.1461708939
178	0.1460230658
179	0.1458632249
180	0.1457243335
181	0.1455411309
182	0.1454226547
183	0.1453164503
184	0.1451795016
185	0.145107846
186	0.1450426339
187	0.1448980276
188	0.1446996228
189	0.1445850322
190	0.1443873884
191	0.144256009
192	0.1440675123
193	0.1438550549
194	0.1436773892
195	0.143487306
196	0.1433685869
197	0.1432601322
198	0.1430906908
199	0.1429628893
200	0.1428551793
201	0.1426741461
202	0.1426046275
203	0.1424564918
204	0.1422938825
205	0.1421361301
206	0.1419173425
207	0.1417634271
208	0.1416305259
209	0.1414484242
210	0.1413041902
211	0.1411810675
212	0.1409624257
213	0.140809773
214	0.1406652314
215	0.1405299665
216	0.1403642811
217	0.1401446841
218	0.1400787273
219	0.1399279526
220	0.1398272851
221	0.1396916316
222	0.1395438521
223	0.139330569
224	0.1391777545
225	0.1390626619
226	0.1389018496
227	0.1387577128
228	0.138600268
229	0.1384840583
230	0.1382612072
231	0.138118074
232	0.1379546714
233	0.1377750468
234	0.1375846883
235	0.1375237989
236	0.1374202981
237	0.1372922052
238	0.1371458504
239	0.136988098
240	0.1369239544
241	0.1368129902
242	0.1366408614
243	0.1365123476
244	0.1364215072
245	0.1361353057
246	0.1359834464
247	0.1358520184
248	0.1357473439
249	0.1356148232
250	0.1354530719
251	0.1351937291
252	0.1350486857
253	0.1348588291
254	0.1347236532
255	0.134546206
256	0.1344470361
257	0.1343615464
258	0.134236829
259	0.1341166691
260	0.1339096029
261	0.1338147394
262	0.1336292297
263	0.1334678832
264	0.1333985023
265	0.1333466224
266	0.1331485172
267	0.1330158912
268	0.1329035994
269	0.132702742
270	0.1326082589
271	0.1325188837
272	0.1324025769
273	0.1322870472
274	0.1321426675
275	0.1320060265
276	0.1319065084
277	0.1317842762
278	0.1316450043
279	0.1315176076
280	0.131410448
281	0.1312910652
282	0.1312106914
283	0.1311084616
284	0.1309567317
285	0.1308750871
286	0.1307660495
287	0.1306932363
288	0.1305438702
289	0.1304099814
290	0.1302499786
291	0.1301726404
292	0.1299507688
293	0.1298496236
294	0.1296652068
295	0.1295401009
296	0.1294786529
297	0.1293854812
298	0.1292334519
299	0.1289531192
