,f1,acc
0,0.0,0.0
1,0.6719513830521383,0.7436974789915967
2,0.5188364025602289,0.9783974195738901
3,0.5158985059992583,0.933961463373228
4,0.6783835106318948,0.8167388167388168
5,0.6390671372225016,0.6395042865631101
6,0.6479735174565622,0.7832102537984891
7,0.6349968937604289,0.7318139376962907
8,0.5753192300028308,0.5824632883456413
9,0.6352710359135669,0.7378405907817672
10,0.5989896074058259,0.6131907308377896
11,0.6160002168466403,0.6411170528817588
12,0.5074685110958681,0.8598590951532128
13,0.4769431268706793,0.7347848230201172
14,0.6394162496481979,0.7190815720227485
15,0.6138809628784097,0.6339444868856634
16,0.5013525313408143,0.7240471946354299
17,0.5534123483614481,0.656692980222392
18,0.4915930025414633,0.9505984211866565
